"
  To Do List with Reminder","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/a-/ACNPEu_M8ib42eEBhTLXco1OROwf2uFZUnw87Je-upAF=s32-rw","Chuck Kamp","Show review history","April 11, 2022","This is the best app I've found to act as a reminder of tasks that are due. I originally gave this app just 3 stars because I was unhappy that it forced me to hit the repeat button rather than the done button when completing a repeating task in order to make it continue repeating. With small fonts, poor eyesight and fat fingers, bumping the wrong button deleted my task completely. However, the developer responded to my review and pointed out that I could change that behavior in the app settings. A developer that cares and an app that gets the job done. I'm now giving the app 5 stars. In this and all apps, it would be most helpful to have easily distinguishable icons instead of tiny print to identify buttons for those of us who need to find and put on reading glasses in order to press the correct button.","117 people found this review helpful","tact","April 11, 2022","Hello Chuck, thanks so much for the awesome feedback it's much appreciated. About your note, you can disable  the ""confirme repeat"" option from the app settings, and then the task will be repeated when click done without showing the confirmation dialog. Thanks again"
"https://play-lh.googleusercontent.com/a-/ACNPEu86byC1cHOuSnLDklrMidEPBz8xauGzgsmJDtbG5Q=s32-rw","Liz","Show review history","May 12, 2022","This app is great! It's smooth and have the features I'm looking for. Well, except for one thing though... About the widget, can you add a functionality where you can just check a task off just in the widget without opening it in the main app? In that way, it wouldn't be a hassle to tick off multiple tasks... Edit: It would also be great if there's a a priority feature for the tasks.","60 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu1QGpwS1zzA_uhyFPVuKtlx01UedTzRECrwMWUP=s32-rw-mo","João Cruzeiro","","November 2, 2020","Simple, well-designed and efficient app that does its job without flooding your phone with 30s horrendously annoying video ads every time you finish a task. It also says in the description of the app that it does have small ads, which I appreciated for its honesty. Just for this, I'll be happy to pay for a pro version when one is released.","38 people found this review helpful","tact","November 5, 2020","Hello João, I'm working to add a paid version with no ads on the coming version of this app. thank you so much for your encouraging words, such delightful review keeps me working hard to deliver the best. Happy organizing :)"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","","February 18, 2020","I'm a list maker, but being visually impaired, I'm always losing my lists. This has times, repeats, alarms, different categories you can make, and more. This has been the first list that works for me, and I'm staying on track even during my busy time.","8 people found this review helpful","tact","February 19, 2020","Hello Libby, really glad you liked my app, thank you so much for such delightful review, happy organizing:)"
"https://play-lh.googleusercontent.com/a-/ACNPEu8RpyuC8EjTXRn2z5bT1yt2ffdYDuWtXRLXphC9U_M=s32-rw","davide masi","Show review history","June 26, 2022","Set up a couple of reminders with alarm and none of them actually worked. Found notifications for them in the phone notification bar as overdue a good few days after they were due. Not exactly what I was expecting. Update. I have done as requested by the developer but the alarm still didn't go off which means that I have missed one of my deadlines. I don't think there is a reason for me to retain this app.","21 people found this review helpful","tact","April 29, 2022","Hello davide, set the battery optimization setting for this to off from your phone settings, also you can adjust the alarm settings from the app settings, and I'm working to improve that in the future release of this app. Thank you."
"https://play-lh.googleusercontent.com/a-/ACNPEu8fPz7HBJ8NLwmRTkucP06UmAuxyZO7hmCwfeM6=s32-rw","Zipporah Sutton","","December 10, 2021","It repeatedly stops sounding alarms for tasks but has them marked as overdue, as if the alarm went through. So far, only uninstalling & reinstalling it has fixed it, which is super inconvenient because the tasks do not back up so I have to rewrite ALL of them... Otherwise, this would be the perfect app for me. Oh, well.","15 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","","August 29, 2019","Looks beautiful, set up in a great usable format for a personal to-do list...unfortunately, it doesn't work. Entries move dates, disappear or un-delete themselves. The repeat option is deleted or changes days, without my input. Entries duplicate themselves with changes (different days, no repeat). Too bad, it has great potential. Uninstalling.","8 people found this review helpful","tact","August 29, 2019",".Hello Nadine,apologize my app wasn't for you,
by the way maybe that miss happend because syncing with google tasks, I will check it, thank you ,"
"https://play-lh.googleusercontent.com/a/ALm5wu0B0r1uUfjHYzfqSiV3sWWOkInFuInxpmqAtE1O=s32-rw-mo","Tanbirul Quadir Choudhury","Show review history","February 18, 2022","After downloading and deleting 8 apps, I settled down for this. A straightforward app, you can make lists of to_do entering time and date. You may not enter sequentially, it gets arranged. You can input on any date It then gives you a sound/ ringtone notification.at the time and date. Its excellent,all the others i have tried were a bunch of rubbish. Have been looking like this for a long time","45 people found this review helpful","tact","March 3, 2022","Hello Tanbirul, glad you like it, many thanks for your awesome feedback, it's much appreciated. Happy organizing :)"
"https://play-lh.googleusercontent.com/a-/ACNPEu9jBYimbtac9XA5PfPAK0LkKVgEIbRpB-9-PHdrFw=s32-rw","7089KSKG Sinserc","","November 7, 2022","Very Good experience so far. The biggest standout feature is ALARM. Which Makes it different from other Apps and the choice wether to add reminders if necessary or just leave it as a note, plus easy to access just have to scroll down your notification bar, don't have to search for app or widget","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_z4ah3CEnngpA_ZX5QBb7tkvuZ8rS7E6RxjOrF=s32-rw","Teodor Hadjiev","Show review history","June 10, 2020","Looks very good and capable for the simple task I need it to. Looks abandoned but I'd wish to make a suggestion. The LED notification doesn't work well with my phone. I guess it's because of the non-'standard' LED color which causes problems with my one-color LED. Is it possible to add an option to change the LED color? To pure red/blue/green etc. There should be a way to remove ads. Also exiting the app requires two taps on the Back button, why? Please add option for single tap to exit.","73 people found this review helpful","tact","June 10, 2020","Hello Teodor,I'll add a paid version with no ads on future release, by the way app,currently shows only small ad at screen bottom and doesn't show any pop up ads,the other notes has been just added on the new version, it's now on beta and it'll be released soon, for more you can use the feedback option from app settings to send me a feedback,thanks"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","March 27, 2021","Testing worked fine. Today the reminders did not remind me. No sound no pop-up. Nothing. I need it to make a sound. Not just say overdue in the app. Edit: Some reminders work sporadically after the instructions below. But I snooze one reminder for a different time than the original option and it changed the snooze option for every reminder.","42 people found this review helpful","tact","March 27, 2021","Hi, I'll check it, thanks for letting me know."
"https://play-lh.googleusercontent.com/a/ALm5wu1C_TJ9FblsWPY3chErUgC5KLxGs8ordAo0EwHs=s32-rw-mo","Andon A","","October 24, 2022","Excellent application. Two suggestions. First, add feature of dragging manually tasks up or down. Second, add feature of speaking the task in speech. Thus the user can choose from Settings: Reminder will have only sound or reminder will have sound together with speaking the task or reminder will speak the task with no sound.","","tact","October 24, 2022","Hello Andon, thanks a lot for your valuable feedback, it's much appreciated, and I'll take your suggestions into consideration"
"https://play-lh.googleusercontent.com/a-/ACNPEu-7Qdf2wvw-27l3uAOTpKxMFSuhF04-bLWmKuaH2w=s32-rw","BTS OT7 ARMY","","November 15, 2022","I loved it. It helps me keep organized. But, I did notice that some alarms don't play. Please fix that. On the other hand, this app is best!!!! 👍👏👏👏 Keep up the work!! It's convenient, precise and easy to use. Highly recommended!!!!!!","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8obI9WB92RFzYZfOFrODdGf-1OzVQnpOPF6Blj-Q=s32-rw","shabin baakza","Show review history","October 28, 2022","I love the box type reminders It's a very useful app to check ur to do list on the go Recommend it to one and all... Only one request when the buzzer is activated it shud be easily visible to turn it off like the regular alarm, that's a little difficult but the rest is supreme","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_PfnWHwFEYoM_7fLDTMEpSCUr0kjosSHtVI2uZ6g=s32-rw","Mohsen Rajabpour","Show review history","March 6, 2021","This app is almost perfect some disappointing parts are when we are working with our device and a reminder comes up a notification with no name!!! Shows and I don't know what was that!!! And another important thing it does not sort by nearest due time to latest, another suggestion is reminder by specefic location and the ability to attach files I appreciate if you consider them in the next version.","27 people found this review helpful","tact","March 7, 2021","Hello Mohsen, I'll consider your notes and suggestions in the next version of this app, thanks a lot for your great help, I appreciate it."
"https://play-lh.googleusercontent.com/a/ALm5wu3kMe86aCJiqRywKdZLAFt_i1eds1eZint8LAwR=s32-rw-mo","CSFCleofish","Show review history","September 18, 2021","Wonderful app! Just what I was looking for. It's robust enough to get things done, without any complications. Integration with Google Tasks a definite plus. There's just one issue. ⁣ Could you please add a sorting function? I find that when synchronizing with Google Tasks the ""subtasks"" transfer out of order, voiding the app's ""subtask"" function. THANK YOU!","33 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","February 14, 2020","I love it But it needs a way to turn off the whole list. I set up multiple lists for different seasons when I use an app like this one so I need to turn off the winter list/schedule and turn on the spring one soon. Ps -I'm switching to this instead of TimeTune because their latest update killed it for offline use so now it sucks. This Simple Plan to do app is way better.","7 people found this review helpful","tact","February 15, 2020","Hello, I'll add your suggestion on future release, thank you so much for your kind feedback"
"https://play-lh.googleusercontent.com/a-/ACNPEu_xFzb3-Tr3KrRHTlvO574M8FLajgAFL18FOvdqrg=s32-rw","Amanda O'Connor","","June 29, 2022","Great for quick ideas I get/to-do's /tips from others! I just pull down the notifications, speak, and click my tab! I did tabs like..red, yellow and green for slow/med/fast todos. one called tips. One w lightbulb icon. I get so much done!! Wow! Smooth intuitive clean UI. Hubby's a dev- you worked so hard! This is beautiful! Thanks! I'll tell others!","1 person found this review helpful","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu0dIERm2Er1aYcgQlShIu3XZnrZSzxgl81k4uxo=s32-rw-mo","Wyko","","March 19, 2021","I have been searching for quite a lot of countdown apps. They are all standalone. Kind of defeating the purpose as I rely heavily on Google calendar. This is the only app that allow me to sync to Google calender. My problem solved. It also allow setting of dark mode. Just what I need. I don't mind paying for a paid version for a job well done...","64 people found this review helpful","tact","March 19, 2021","Hi Wyko, thanks for the nice feedback, and I'm working to add a paid version without ads in a future release of this app. By the way, this app currently shows only small ads at screen bottom and doesn't show any pop-up ads for more information about ads please refer to the app privacy policy, you can access it from app settings. Happy organizing :)"
