"
  WhatsApp Wallpaper","username","bp9Aid","review","AJTPZc","VfPpkd-StrnGf-rymPhb-b9t22c 2"
"https://play-lh.googleusercontent.com/a-/ACNPEu_yb1B5Scg4ETp2KiY87aSzk3khcYNJN6Vg0_PZ=s32-rw","DeViL gAmEr","August 30, 2020","I didn't understand , is it necessary to create an app for small bunch of wallpapers. There are hardly 10 to 15 of them. U could have directly provided inside the main app. Don't think it's a great idea. Try adding more wallpapers or just remove this app. It was as hell as waste. I don't want even to give a single star but I must inorder to post the review. So sad.. 😔😔","5,920 people found this review helpful",""
"https://play-lh.googleusercontent.com/a/ALm5wu0hXhorXiR0dkb9CS8mzLamfKzIzw0LgwpuUa80=s32-rw-mo","Ruth Hampton","July 12, 2020","What I have encountered, has not been all Bad. I have not really used this app. Much, but it appears to be a good fit for the Job/Main app. That it's associated with. One of my friends uses this particular picture, for his Picture, and it really is rather attractive!!!!","3,087 people found this review helpful",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","August 22, 2019","Before you read on i mean 0 stars. First i found it hard to work out how to use the app, and then when I figured it out i saw about 10 completely useless wallpapers. I would like some more wallpapers, and above all wallpapers that are actually interesting (well, there was 1 that i liked. But it wss only 1)","1,641 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu8u2j-1lVEU2Hw7E-e4gva2F2QpjXEwfFw9_Fvt=s32-rw","Shikhar Singh","August 19, 2020","I am unable to update the wallpaper in WhatsApp only from this Wallpaper Library. Whenever I try to do so, there comes a message which says, 'Couldn't load this wallpaper. Please try again.' On trying again also it shows the same message. I am able to use the preinstalled solid colour wallpapers and I'm also able to use any wallpaper of my own, but not from here.","5,774 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-ZxCPFsAFjHhxwCn9nqS_vDUreGo0XliXzSLNm6Q=s32-rw","Bhushan Patil","September 1, 2020","Very good app.No problem at all and whoever says that there are only 15 wallpapers that is true but what is issue in having less or more wallpapers.See the color combinations it's so attractive and fascinatin.So those people who say thos app is bad or do not download it are not having sense of color combination .And those who say it is problem while opening or not opening has a problem with their mobile as their mobile version is very old or having problem to have such and advanced and good app.","1,129 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu_wHOka6rVaM7ki8lvPjFEOdIMMQUiCHtZvFGwbZw=s32-rw","Alex Fernández","August 9, 2020","It only has around 15 options, all of them just regular pics you can get anywhere... But the worst part is that I went directly to whatsapp and tried to set a wallpaper and it did not work, I tried 2 different ways to set the wallpaper, none worked.","679 people found this review helpful",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","January 13, 2019","I Don't Like WhatsApp it's reason is it's becoming old no stickers no proper wallpaper. Now stickers are available but what's the use of them they are all copied from Hike. for stickers also you have to install separately😒. It's just rubbish app developer go to hell use your own brain to create stickers in app so that it couldn't be downloaded separately. For eg like Hike has.","1,018 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9RDS212HdCZCm0XzYVKruym3ZM9tSsuTZ1xfkCVaA=s32-rw","Ferla “Jene” Yen","December 2, 2020","More than Outdated.. Every once in a while I check whether they have finally updated some themes.. Needless to say I've been waiting a long time and still nothing... So many other apps have updated since the Pandemic to help create a more user friendly experience for us consumerz as we spend more time at home.. Seems like they forgot they created this app in the first place. Don't hold your breath for an update.","11,622 people found this review helpful",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","November 1, 2018","I've looked at the wallpapers and most of them don't look like something very exciting. I think they need to update the app after over 7 years of the same old content and bring some new wallpapers to the app.","311 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","August 9, 2019","Great to have wallpapers. Strange that they require a separate app. As I recall, the wallpapers of this ""app"" are integrated already in an iOS device, making this mechanic weird. No clue why things are different here.","706 people found this review helpful",""
"https://play-lh.googleusercontent.com/a/ALm5wu1GQlPc10GJ--8f4mPi25KayXxKi33iBICdhvsQ=s32-rw-mo","Sudipta kumar De","January 16, 2021","Bad app. There are just very few wallpapers there. Many images out of them are boring. There are some good pictures, but very few like the beach and the stars and galaxies. They should provide us with many other images which are not boring..... Edit: I installed it again on 16/1/2021,still I found that no new wallpapers are there, It is as before.... Worst Wallpaper app.... 😣😣😣😟☹️ I had uninstalled le the app last on 19/8/2020 ☹️☹️☹️","5,639 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","June 5, 2019","Someone may find these cool, but their not for me. Everyone is different do someone else might find this cool. But can you make it that people can use these as their wallpaper on their phone or tablet. I didn't find these quite my style, but if you add more cool wallpapers, I might re-download this add-on for WhatsApp to customise my WhatsApp experience.","751 people found this review helpful",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","April 4, 2019","the backgrounds are terrible!! the last time they updated this was in 2011!! do not download this app, trust me. the backgrounds look like something of my nan's tv she had in the 80s. you will not like any of them!! the graphics of the backround makes you cringe!! DO NOT DOWNLOAD!!!!","5,080 people found this review helpful",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","January 25, 2019","Too few options, and all so bright! The default is just pale and textured. Maybe make others that are also pale, but using different colours and different textures.","301 people found this review helpful",""
"https://play-lh.googleusercontent.com/a/ALm5wu1_u1nJhWB9qegXwCy6bZrdsLD2jhaW74ARxD6q=s32-rw-mo","Vijay Singh","September 9, 2020","Really bad app i seriously don't expect with whatsapp its showing could not change this wallpaper whenever i tried this is the useless and waste of net but i m just advicing the what's app to solve this problem and hope that we will never face this problem again... But here are to many beautiful wallpaper in this app but what is the use when we can't apply it very shamefull.. Thanks","542 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8UyI6E6NtTcYm32yaKmwrmaNOw7-s-wZnG8OZblFo=s32-rw","Cliff Malcolm W","May 27, 2020","Well. It's wallpapers. Simple as. 😉 This appears light on resources and I do like to change things up. If you don't like them, merely make your own. I don't need 1,000. It suffices to have a limited number of high quality designs.","5,051 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","July 13, 2019","OK 5* to hopefully get this read. Yes, to all who question how such an insipid collection of backgrounds can gain so many 5 stars. And to all those who say that there is ""no app"" and they can't find the wallpapers: They are not with your apps. If you read the instructions you will find these wallpapers within the WhatsApp app by going into settings and tapping on wallpaper. To those who find these wallpapers less than attractive, add options you love from your gallery. Good luck to all!🌞","2,142 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8YhrGxSeAvHW9CaXhVf8NR-65fJbCwVqGXBrb-vA=s32-rw","Aamina","October 11, 2020","Its the WORST! I got this app a few years back and it still has the exact same pictures as then. They haven't added anything new and I'm really gutted about it. I recommend you to not get the app as it's the worst thing I've ever actually downloaded 🤮🤮🤮🤬🤬🤬","314 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9oAMwL4begnt7PxLfh1zBQTpBB5yw67icFkkfyWw=s32-rw","fatema","November 13, 2020","It is awesome !!! We can use these wallpapers in WhatsApp so that it looks nice. I love these WhatsApp wallpapers as they are in different colours and pictures. But when we use these wallpapers in chats, it effects on our eyes and distracts mind sometimes. These WhatsApp wallpapers are bright but effects on our eyes. Some of these wallpapers are shiny and looks good. Thank you!","4,095 people found this review helpful",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","September 15, 2018","Hey Brothers and sisters,all whosoever have submitted their review for whatsapp wallpaper that it's a good app, useful, nice,best and so on. How do you think this is better? This app hasn't been updated so far since it has launched. Also, it's having so dull and so worst wallpaper ever. One of the worst app ever I have seen in my life.. Hated it and so boring one.","1,156 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu06X1z4sOTnlvphN0x63B3j4z3FwWjCPJ5Itjrh=s32-rw-mo","Rajat Jain","September 12, 2020","Yes, Ismail sultan I have also a same problem😕 when I download this application, few wallpapers are appear infront of me☺️ when I try to apply first one but it was showing unable to load this wallpaper🤔. Please try to fix that problem as soon as possible. Thank you.","231 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9Xewyjx-_GpC9fZHBVfhxeOkErTq3mhsVWNY2iiA=s32-rw","Jia Arora","December 20, 2020","Worst wallpaper app ever !!!!! Whenever I try to apply any wallpaper , it shows an error ""Couldn't load wallpaper, try again later"". And never gives me chance to load any of it again. Not expected this.","493 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu-3vii6ZY0iqklDQs2OM3f-I-MNCvX0Fb4zMUuT4A=s32-rw","SurrealDynamics","July 19, 2020","Just a bunch of mildly aesthetic wallpapers, like ten of them. And not anymore. Just download a wallpaper you like from the internet or Pinterest, it'll be it. The problem with this is that they created an add-on to put wallpapers for WhatsApp, they added a couple and said ""my job is done here, my people need me"" and flew away onto the horizon. At least keep adding a couple more every once in a while, put categories with several styles. I see potential here","4,649 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_c3kUhT3mTYMd4L6tIYYspmiRfBGNqmqmWHbeHAg=s32-rw","Billy Ellingburg","September 3, 2020","This app is garbage for me. The ONLY reason I give it 1 star is just to let everyone know that once I downloaded it, I couldn't use any of the wallpapers. I tried every one of them and it said the same thing. ""Sorry, couldn't load wallpaper, please try again"". Uninstalling immediately.","1,137 people found this review helpful",""
"https://play-lh.googleusercontent.com/a/ALm5wu31-gus8Sgb-MYZVq6v7th7o8YGsJxz0RbO7fG_=s32-rw-mo","sharja dandge","August 10, 2020","The app is not working. I tried to reset my wallpaper, and it says, couldn't load..... not sure whats the issue. I just uninstalled and then reinstalled the app, but it still refuses to work.","370 people found this review helpful",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","September 15, 2019","Not enough wallpapers, it's just a waist of good storage. You can just take screenshots of the images in the description and that's it. You don't even have to download it. I think there are like 2 other wallpapers that are not in the description but that's it","1,231 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu2YsEWzIJ0ZBsXDIdInkoRAS-m-z8pSETiChsck=s32-rw-mo","Pink van ESSEN (Pink)","November 14, 2020","Got the app not alot of choice and when it said to swipe left to see more choices it wouldn't do it. I was expecting really fabulous designs and I've uninstalled it such a shame as funky what's app wallpapers would be fabulous.","173 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-nEhhMwO1VaxF8DxHKGkvfQWT3dIaYOfBFDEWwLg=s32-rw","Edith Toalha","September 7, 2020","It's very beautiful but they are a bit dull , I mean there are nice ones like the beach etc but they're a bit boring , there's nothing one gender based it's more unisex but I think there are a few more needed to be put on . More colourful and lively maybe , but besides that ... it's ok .","849 people found this review helpful",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","March 3, 2019","Wallpapers are the best of my life and I will never forget that wallpapers, if someone wish it from my phone I'm gonna slap them in dare face. The wallpapers are so beautiful and adorable and a little bit sexy that I wanna see them all day because the wallpapers are so cute but not all are doing well and some of the things are very stupid. I don't know if you like them but I like them very much and I'm so happy that i download that app and i hope you enjoy the beautifulst wallpapers in the world.","16,228 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu8FsQUts4RUmHjH1PC8Zza4WPTAxvzHUXyAN4uoYQ=s32-rw","John Ross","August 9, 2020","Couldnt set any of the wallpapers. Not surprised as this wallpaper app is 9 years old now, i just got my own 4K background now and saved it manually and is better. Can also adjust it perfectly myself, without this app.","189 people found this review helpful","Show review history"
