"
  Wide Launcher","username","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb","VfPpkd-StrnGf-rymPhb-b9t22c 2"
"https://play-lh.googleusercontent.com/a-/ACNPEu_W8dxnPcxt0hia-BZ75adEOn8sh9WJc-lfuNbFUgE=s32-rw","Eli Yanuka","September 14, 2022","I love it. This is more a skin than a launcher. But it got all the benefits I need. Look, performance, the flexibility to play with almost everything the way I can't remember seeing in any launcher before. I gave up on my root in Pixel 6 pro due to issues it gave me and functions I didn't manage to activate (e.g. auto call recording). Found the Wide Launcher and I'm happy with my ""new"" phone. Less than a month I uninstalled it due to its high battery consumption, could not end the day","4 people found this review helpful","","","","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu8LmuXbQJrGuTq4_UR-NOh5jpVEbVUW5BYXxA0VnQ=s32-rw","Robby Wallace","November 14, 2022","I love the launcher, but after a couple theme's are saved and I try to go to the ""decorate"" button, all my themes get deleted and it leaves the same 2 every time! I've Uninstalled the launcher and reinstalled and this has happened a 3rd time now. Waste of hours of my time.","1 person found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_IyYNKQctD2iM9j3OMClFPLbVZcpcJXD4CEPwt5w=s32-rw","Dhirar Alshaer","September 29, 2022","Love the app, unique, easy to customize but not much options, the app never crashed on me but some of the shortcuts keep reseting or disappearing Love the pet addition,, but got me a bit paranoid sometimes with the things he says lol... I did downloaded different launchers after this, but as the free version app to use.. This one I haighlt recommend Just wish it was comparable with some more apps to customize and edit..","2 people found this review helpful","","","","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu0_xx778BCGQNq9MkmrHK0ZvA_4PiiGaT-oducg=s32-rw-mo","Ysla Louisiana","September 16, 2022","This app really has a good features and a lot of designs to apply. But the only problem is that it's a little bit delay when I scroll and it's laggy. This is really recommendable when someone is not satisfied with there launcher. I hope you take action for this laggy thing.","1 person found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-SY_zZYzAYKfAZcVhVHdx8denEcbIIBtQddIrZYA=s32-rw","Eamy Tamang","October 7, 2022","It had been working well so far. However, it suddenly doesn't add screens. It doesn't move my pets from one screen to the other. I updated the app, tried restarting my phone, as well as waiting for a few days. It still is failing to add screens or move my pet. Please fix this issue (⁠─⁠.⁠─⁠|⁠|⁠）","1 person found this review helpful","","","","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu-Uq83jqUeolUC2-yKKWiNznLCu7GM37tB6BZg4bA=s32-rw","cuuh","October 20, 2022","Amazing! very nice, I LOVE that you can add any app and widget literally ANYWHERE!! anyways, trying to find a specific icon in an icon pack can be very difficult, so I'd recommend for you guys, to add a search feature where we would search for an app in the icon pack, that would be very nice. definitely 5 stars. -cuuh","1 person found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8il1rJaiZNrk3AAnoDRahQSjzDWwDIQ8nDqD_v=s32-rw","Avide d'expérience","September 26, 2022","The aap is indeed good and customization can be done as per your command but, this launcher is just like temporary thing.. U cant use it for long time like it doesnt have hold button... The customization is always on.. Like if u hold for long it will move the things and widgets.. Its not like your default launcher where u just choose and use witgout any prob but here u could get your launcher made greatly by u but it is just not permanent..","1 person found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9Umu3AHjDqPSd1wniFuB_WPM-ZAmsgm-pryxMU4N8=s32-rw","Aizatfitri Hifzhansyah","September 27, 2022","Even though auto backup is on, when you install the app into a new device the wallpaper and photo in the photo frame changed. Unless you use your own theme that you posted on the theme store, you will get the ""shared"" label. Which means you cannot reshare your own edited theme.","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_BKCGQPWfLeHkCAj71sQuPFJADe18WXXj5J_R2Dg=s32-rw","s r","October 9, 2022","Looks good. The interface is pretty confusing. The most annoying thing is that if i try to remove app in widget , it accidentally removes the entire widget and no way to undo. Lost the customisation","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9u-lPdyOEPwa9gx_W7BR7aIR2m-GlZo2rJl6dWRg=s32-rw","Jerald Marcum","November 18, 2022","I love this app, it has so many cool features by far more than any other I've experienced. You can design your own stuff any way you like, it offers so many ways, icons ,themes , wallpapers and so much more. This is the best above the rest, excellent!!!","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-VMzTku5tooxw_pL7fDHTuFNUoj3N8uAdWU4m5=s32-rw","Luka Hendrix","October 2, 2022","I love how this app allows me to have several different home screens available at just a touch. It's smooth and easy to customize. It has everything I could possibly need.","1 person found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu3hVP9yeUjKlb9OLT3R4GyJCjaGvjY5218k7qki=s32-rw-mo","Arul Thilak","August 26, 2022","Inwould like to give 4.6 stars. Mazing user experience launcher. And the very best one. Please note Netflix app is not working in PIP mode in Wide launcher, but when I switch to default launcher at oppo, it works. Pls rectify this. Apart from it, best launcher app. Thnx for innovation and creativity to the greater minds of this app. Bless.","","","","","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu8OEj2vkEUQ48LV9wD5NyI1K4WLjOnRipirYXCI=s32-rw","Ravenscar_ Warrior","August 28, 2022","It is over all a good app but the problem is that once you put all the editing you need to do, the second time you want to do the same thing, it is showing network error please try again even when my network is connected. Please fix this issue.","","Shouter Inc.","August 30, 2022","Hello. We have fixed the issue and it is working fine now. Please try it again and let us know if you find any problems. Thank you for your understanding.","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu-HsJgWW1boVMuX_XnwMmRQnod56YE1Xl29U9SAKRw=s32-rw","Sk","September 19, 2022","unique app, i like it, i love it ,now icon pack perfectly supported thanks , i am surprised really , felling well unique ......well done 👍 Note- third party wallpaper not apply directly in wide luncher why not supported ? But other launcher supported, Please fix this issue. Fast please Then... add more features, 3d screen effect, more theme, next /tsf launcher type gravity sensor, automatically wallpaper scrolling moving effect 3d type ...","10 people found this review helpful","Shouter Inc.","July 19, 2020","Hello. Thank you so much for the review. I will forward your suggestion to our team, and continue to upgrade the app feature and add more content.","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu-pPv1Ml2z1rvrQrh1s0FxISt12QBJ1tpG7NHoiqg=s32-rw","Phoenix","November 9, 2022","This launcher is the best one I have come across, everything about the app is great but the only problem is, there is no ""follow"" option to follow theme creators who's themes I like and who like my themes. Please add this feature and this app will be the greatest one among all.","14 people found this review helpful","","","","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu2GBM5k7oZ68ifeK7gB7LMlLD8chOCbCtL8f-d8=s32-rw-mo","Bernard Dsouza","September 6, 2022","Awesome. Maybe needs improvement on the hidden apps front. The hidden are visible in search app bar. Also, can think of providing access lock to hidden apps. 🤗","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-KSGfaiTWVyHm4ntQCn-WwJ3TSvj7Qp7f4EXQp=s32-rw","Nathan Kennedy","August 20, 2022","By far my favorite launcher, I've been using it for about a year. Unfortunately, this last update keeps forcing the launcher to have a ""dock"" every time I turn my screen off. If this bug is resolved, the rating will go back to 5 stars! Again, love the app, just minor bugs.","5 people found this review helpful","Shouter Inc.","August 22, 2022","Hello. Thank you for the review. Can you check if Wide Launcher is set as the default home? If you need further assistance, please write to us at widelauncher@shouter.com.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_7cVLE-2r1y8b0vZkFJyAIVJVbLFHYtL966LpDKw=s32-rw","Delano 92","October 26, 2022","This Launcher is Amazing ! Ive seen some launchers back in the day that had alot of customization but they went ghost . . . Since then i havent seen much good Launchers at all but this one Cuts the Cake. I recommend this.","","","","","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu_TqNcCcmwBmoDUzAS_v4aDHbVb7XWg8a18Deb4=s32-rw","Pranav Survase","November 17, 2022","Nice launcher with many good features and it makes accessibility easier with those cool swipe gestures but it is difficult to locate the pets and for getting them we have to login with our Gmail.","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8OL7seY076kw763XcwOAbg79WBs5T1esjmBAgpMg=s32-rw","riDe 2heAven","November 9, 2022","It is great launcher and also it have more and great features when it compared with others. It have totally creative and beautiful UI...","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9IeP6QwEq64keWzyiVr4ENxX6o4tCpjJorn3QZ=s32-rw","Anne Candace","November 10, 2022","Ultimately like it. Too many personalization and it's really easy and simple. I like the design & everything here. So satisfying nice cute beautiful theme whatever ahhhh 😃💘💖","","","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu1_JDK2798GpjHBdkOHsveB-_GydH4MRprWECLF=s32-rw-mo","Kartik Kumar","November 7, 2022","I give 5 Star but it take loading on internet and somehow it's don't show any app and screen goes black or blue. But with ignoring this it is good launcher . I thank to developer for this app.🙏🙏","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-yiKQRu_1ixDv-Lu2dh5t0Xh4H7rDHyEfx9zqCRg=s32-rw","Rahul Ravishankar","September 27, 2022","Great concept ..loved it, pls do add swipe down universal search ..drag up and then click on the bar and type is too cumbersome..wud love simple swipedown. and and search wud make it better i feel ..rest it's great launcher Thanks for the quick response, i missed the gesture settings great work guys do keep it up 👍","","Shouter Inc.","September 27, 2022","Hello. Thank you for the review. You can customize a gesture to open the universal search from the launcher settings. If you need further assistance, please write to us at widelauncher@shouter.com.","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu0X3TR1CzLE9q4isLkg2NIHF6f01eSLCUSVJnUsZts=s32-rw-mo","C W","September 23, 2022","Absolutely a pleasure to have, very good launcher, easily customizable and options and settings are user friendly.","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8cacFrmxGSTlQkJXdfIow9K_xqDHKrO8MF_WVA=s32-rw","Harshit Shrivastav","September 16, 2022","On tapping recent button it is showing my phone's default UI as well as wallpaper, please fix this issue I am going to give 5 Stars but this bug is annoying.","","","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu0EK5g6yFFGrp0IViCFfNdym6vZpLNHeh6NUiDC=s32-rw-mo","Sree Sree","September 21, 2022","There are some awesome customizations are in this app but they don't show any widgets I use this app and know about this problem that the widgets have to be installed but when we touch this widget position it says can't find the app on playstore please resolve this","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8MFU06cN49COqTrPkTuQfkMZcTtmmDGFkIYMbOWQ=s32-rw","Prasad Ranjan Sikdar","August 28, 2022","It's alright.. but if i could be able to customise it more..and had more control over ui it would have been much better.. anyways it's better than other launchers","","","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu1_7ZqjJewQP689nqWfvvi_yQ7viM0ZgxD7dKKQ=s32-rw-mo","Frederick Chavit","August 3, 2022","I'm hoping for a shortcut function which forces the home app to restart/refresh as many devices now featuring multi-app/ cloning of system exists including mine. in which everytime an app gets installed, it adds a clone in homescreen and in app drawer Temporarily then after clicking restart under wide launcher settings fixes the issue(it disappears but troublesome). if the home app refreshes itself on the background frequenty it shouldn't be an issue. hope you add the feature on the next update","3 people found this review helpful","","","","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu8inCnx6yXrPmtFYoA3-6Yc5ajFKc7Cvf5QtlsI=s32-rw","Geary Giaviany","August 12, 2022","The home screen is superb. Sadly, the wide icon on the dock isnt movable. Also the app drawer is a bit messy and there is no customization option for app drawer. Looking forward for update","3 people found this review helpful","Shouter Inc.","August 22, 2022","Hello. You can customize the All apps (app drawer) with the Folder mode option. Tap the folder icon button on the top right corner under the All Apps menu and try it.","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu9chgFG4ZS2Am2_wS8tcd5ID6uy7xZ5sqYVVDeOMg=s32-rw","Muhammad Irfan Mirza","October 2, 2022","THIS IS A BRILLIANT AND MIND-BLOWING LAUNCHER that is fully customable and is more better understood on tablets or phones with a larger screen. This is the most impressive and attractive launcher i have ever used in my life. But please let me know that is this launcher battery hogger or RAM hogger?","","","","",""
