"
  Vi: Recharge, Music, Games, TV","username","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb","VfPpkd-StrnGf-rymPhb-b9t22c 2"
"https://play-lh.googleusercontent.com/a-/ACNPEu8Dl8STmubbKrzMwioYTTPbk1NJquf5cUco_QpEmQ=s32-rw","Vijay","October 9, 2022","Not supporting to register a complaint. It's totally waste of time. Am wondering why you people offer an app in the first place. It is like a tragedy to use an app like this for nothing. First up, it takes lot of time to load, if it loads at all. In the rare event it does, the details are mostly missing with the irresponsible response of felt sorry, unable to load, try later. Which is later forever. Deleting & clearing temp. data, restarting the device, resetting the network & blah blah....","44 people found this review helpful","Vodafone Idea Ltd.","October 7, 2022","Hi, You can raise a complaint via Email through ""Help & FAQ"" tab in ""More"" section in the app - Team Vi","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu-7hY0w7rgQW3GMAeNsUuBc9nJiqFXx_rCmqbHECQ=s32-rw","rishabh pittan","October 1, 2022","Data plans are great but the fact that they charge you for caller tunes is unimaginable and that too when you can't even find the songs you are looking for. Caller tune library is really limited whereas Other network providers offer free caller tunes and their library is far better and cover more songs. This is the only thing, I hate most about being a vi user.","198 people found this review helpful","Vodafone Idea Ltd.","October 1, 2022","Hi! We apologize for any unintended inconvenience caused to you and thank you for your patience. Let's look into it immediately. Please send us your number and details of the issue to Social.ViAppCare@vodafoneidea.com, and we will revert you as soon as possible - Team Vi",""
"https://play-lh.googleusercontent.com/a/ALm5wu1YAN_AB8XzgEc8ovj9ZR8JPB4hNckcPj0QERHc=s32-rw-mo","Jaba Chakraborty","November 6, 2022","The most third class experience I've ever had with this app, literally every time you have to login with number and otp and do a fresh start every time. And what the hell is wrong with the network I don't know, everytime volte is gone and is showing H+ or E, evey time I've to turn on and off the airplane mode. But when putting a Jio sim all problems solved.","177 people found this review helpful","Vodafone Idea Ltd.","November 6, 2022","""Hi! We regret the inconvenience caused. Request you raise a complaint about your network-related issue on the Vi app. Our team will get back to you shortly - Team Vi""",""
"https://play-lh.googleusercontent.com/a/ALm5wu0nUEPzzlyuK6SNIcAfaWqJcxYyw2pD9XIU82TFeA=s32-rw-mo","Raju Mangloor","September 15, 2022","I have been using Vodafone for last 5 yrs and it worked well till now but since last few weeks it has been disappointing with its network. The internet works at mediocre speed during the day time and at night it stops working even if I have 2GB of my data left. I can't even send a msg on whatsapp. I tried network troubleshooting on the Vi App but the speed is not enough for that, it says that it was unable to troubleshoot due network connection. Very Disappointing!!","35 people found this review helpful","Vodafone Idea Ltd.","September 17, 2022","Hi! We regret the inconvenience caused. Please send us your concerns with your Vi number at Social.ViAppCare@vodafoneidea.com. We will try to get it resolved at earliest - Team Vi","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu8k7QXN7AKYp8xiKBFq5mgJrqOyIrbuBzodpBdg=s32-rw","Arya Madhusudhana Panicker","November 10, 2022","The app is slow, hangs..doesn't see any difference with regular updates..about the provider, when it was idea there was superb connectivity, good internet speed not much glitching but when it became vi there are days where there's no network connection for straight 6-8 hours or more, and even when there's network, it's slow.4g in name but seems like 2g.dissappointed","6 people found this review helpful","Vodafone Idea Ltd.","November 11, 2022","Hi, We regret the inconvenience caused to you. Please delete the cache and cookies content on your Phone & restart it. Also, please check the speed of the internet connection. If remains slow ??.. Please email us your concerns with your Vi number & screenshot (if any) at Social.ViAppCare@vodafoneidea.com We will get back to you shortly - Team Vi",""
"https://play-lh.googleusercontent.com/a/ALm5wu38qALIQFJZr4lTD88FvO_M61o_H1pMOWwzanGf=s32-rw-mo","Moloya Mahanta","September 10, 2022","Very bad experience.. I am facing a problem ""I am unable to send SMS from my SIM. When I tried to get help from the app, the CHAT BOAT shows...""Regret to hear this. I will help you to register a complaint. To register, Click here.. and prompts. But when I touch the optionredirects RZESTART the app again and again.. Such a boaring and hopeless service and experience. So I am going to change the NETWORK","42 people found this review helpful","Vodafone Idea Ltd.","September 11, 2022","Hi! You can raise a complaint via Email through ""Help & FAQ"" tab in ""More"" section in the app.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-xSyf02XICc8q1ArrphFLok2cQtWxNq5z6G3VV-w=s32-rw","PvParadise XD","November 7, 2022","This app is trash like you internet service. Slow internet and sometimes stops working. I have been using your service since more then 5 years and was never happy with its speed but the plans are good, just the speed needs to get a very, very big improvement, same goes for the connection also. I hope the 2 things get a fix.","8 people found this review helpful","Vodafone Idea Ltd.","November 8, 2022","""Hi! We regret the inconvenience caused. Request you raise a complaint about your network-related issue on the Vi app. Our team will get back to you shortly - Team Vi""","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu9AyTUe152Fpkc2mmFPSZ3tBzSoSeAMPYr5fkxitw=s32-rw","Tanvi Shetge","September 11, 2022","This app and network is super slow. It's been 7 years I have been using this it. But now a days the network is super slow and it's didn't even show connection. I live in city still is super slow. Whenever I try to raise a compaint on app they didn't even response properly. They only show the packs which should I purchase. But even I do that what's the point when the network is slow. If there was an option to give 0 star I would have give that already. Still now also it's super slow. Disappointed","161 people found this review helpful","Vodafone Idea Ltd.","September 12, 2022","Hi, We regret the inconvenience caused to you. Please delete the cache and cookies content on your Phone & restart it. Also, please check the speed of the internet connection. If remains slow ??.. Please email us your concerns with your Vi number & screenshot (if any) at Social.ViAppCare@vodafoneidea.com We will get back to you shortly - Team Vi",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_tXi1L52oayPMu_Odj6kdhYKhTT4gFyUx1G8YhGOY=s32-rw","Shivam Mishra","November 8, 2022","I had ported from jio, and believe me the experience is great. I no longer have to worry about data limits and the vi movies & tv is way better than jiocinema. A suggestion to improve it even more: Please introduce a widget for home screen that updates every ten minutes (or so) and shows the data left (also maybe data collected). I would really appreciate that. Looking forward for the widget. Thanks.","122 people found this review helpful","Vodafone Idea Ltd.","November 8, 2022","Hi! We are delighted to know that you are having an amazing experience with us - Team Vi",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8rfrAfZiz46K9m9Abil9MOFKuqxMpyTX3wYn9h=s32-rw","Vikram Rajurkar","November 9, 2022","Worst app to exist on the face of earth. Absolutely useless as I can't recharge through it. I have reinstalled many a times but it only shows notifications. I wish i could take away the 1 star as well. Edit:- Cannot login with the new app. Trying to get OTP since two months. It says it has been sent but I never get it. Lord knows where they send it. Emailed the problem to their cc but no reply from them since TWO MONTHS. Kudos to the vi customer care! The verdict prevails, WORST APP AND NETWORK.","120 people found this review helpful","Vodafone Idea Ltd.","September 21, 2022","Hi! We regret the inconvenience caused. Please send us your concerns with your Vi number at Social.ViAppCare@vodafoneidea.com. We will try to get it resolved at earliest - Team Vi","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu9Ge7EqNxS0aVpb5YVyeGyTsKekGvLshUhGTsTasg=s32-rw","Sudheesh S","November 10, 2022","My old device couldn't even load this app. I need to wait for at least 10 to 15 minutes of opening and closing to load it. So i don't recommend for people who couldn't afford a new device that has an updated software. Definitely recommended to certain people's those get regular updates or a device with high capabilities.","141 people found this review helpful","Vodafone Idea Ltd.","November 10, 2022","Hi! We are delighted to know that you are having an amazing experience with us - Team Vi",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-IgYeyKtpXN1gE26ctuecz2S0BqKPZZWREAMkptg=s32-rw","Chandan Kumar","November 15, 2022","It's crazy. The time is showing differently.  40mins forward. Not only for me , in my home we have 3 SIM cards in different mobile phones. But it shows forward time in all mobile. Once flight mode is enabled and disabled, it will take its proper time. After 30 minutes, the time will jump to 40 minutes. I'm not sure what's wrong with it.","3 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu96Gq1OSHE2HEndph_L63q446VsmL5iBZp6XmZqbw=s32-rw","SAURABH KUMAR","November 12, 2022","The benefit of vi is very excellent but sometimes speed is dropped. And when we do call and all, then internet will suddenly stop working and network will become 2g. So, I request to improve this call features and speed little bit more as you can do, and rest all benefits are ok, I like it 😉🤘👍","2 people found this review helpful","Vodafone Idea Ltd.","November 12, 2022","Hi! We are delighted to know that you are having an amazing experience with us - Team Vi",""
"https://play-lh.googleusercontent.com/a/ALm5wu1vmkHHdcYB0YriVDNx6S0eQ3rOYXFZZCmCTC_I=s32-rw-mo","Aryan Pratap singh","November 9, 2022","The sim is good but not like jio and Airtel. Advantages : 1. Data rollover 2. And vi gives 1gb free 2 times in a month. Disadvantages 1. Slow network 2. Poor coverage , unable to connect in villages or remote areas. 3. Packs are costly than compare to jio and Airtel. 4. Lags many times in a day.","3 people found this review helpful","Vodafone Idea Ltd.","November 10, 2022","""Hi! We regret the inconvenience caused. Request you raise a complaint about your network-related issue on the Vi app. Our team will get back to you shortly - Team Vi""",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9njfYEAEfUya7cblHdpAWnzN34WVqhSZL4L2QfSw=s32-rw","Nikhil Gandhi","October 24, 2022","The network issues were not enough, VI has now started irritating customer through the app as well. The app is too slow, too many graphics, links highlighting. I use the app for bill payment, I am not interested in any other services the app offers. Please try and make it simple.","163 people found this review helpful","Vodafone Idea Ltd.","October 24, 2022","Hi, We regret the inconvenience caused to you. Please delete the cache and cookies content on your Phone & restart it. Also, please check the speed of the internet connection. If remains slow ??.. Please email us your concerns with your Vi number & screenshot (if any) at Social.ViAppCare@vodafoneidea.com We will get back to you shortly - Team Vi",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_Z_81kaOPEFHLPDrxLDeoipEw0FEAoe3tqsSYaSQ=s32-rw","C Gnanendra","October 31, 2022","One and only worst app and worst sim card is VI. I want to change my sim to another operator like Airtel, jio...ect. Even BSNL is too good in service. There is more cost for recharge plans. Very very poor signal at any location in India. Also there is no clear response for any issue/problem. Guys, I offering you to choose the best performance signal at your location except VI. I am using nearly 1 year but there is no increment in this sim. Also all sim operators increasing plans. So don't use it","14 people found this review helpful","Vodafone Idea Ltd.","November 2, 2022","""Hi! We regret the inconvenience caused. Request you raise a complaint about your network-related issue on the Vi app. Our team will get back to you shortly - Team Vi""",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9qJN-zervNsdSg2kBRY2j34hn5g4MCFKrLlI6Muw=s32-rw","Fardeen Khan","October 23, 2022","This is a good app but is has some terrible bugs such as laggy interface and the most irritating thing about it is that its logo isnt visible in the homescreen so to access it i have to always go to playstore or settings and then i get a way to open it. How annoying is that when you download an app and you can't access it from the homescreen itself.","66 people found this review helpful","Vodafone Idea Ltd.","October 23, 2022","Hi, We will definitely help you out on that. Please email us the concerns with your Vi number & screenshot at Social.ViAppCare@vodafoneidea.com. We will get back to you shortly - Team Vi",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_7W_4x4ls46LlmKESZ0ngy18GAu5D4_iSd6XsodQ=s32-rw","GURU RAJGURU","November 4, 2022","If there is an option to even less than one, I would be interested to rate this in negative. Because This music app is so so fast and quickly responds just the way Vodafone network causes inconveniencss. I installed & opened this app and while registering, entered my mobile no., it didnt send any OTP on sms & email, even after half an hour!! Finally i clicked 'Resend OTP'. I finally got the OTP. now the twist is, after entering OTP, still getting submitted, even after 30 mins!! Vodafone sucks","6 people found this review helpful","Vodafone Idea Ltd.","November 4, 2022","Hi! We regret the inconvenience caused. Please send us your concerns with your Vi number at Social.ViAppCare@vodafoneidea.com. We will try to get it resolved at earliest - Team Vi",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-P1viPenjNhTeLqG25PdEffzmzratrNU4VwCeHAw=s32-rw","Atul Kamble","November 1, 2022","Sometimes when vi app launches there shows different offers mostly pop ups and whenever I clicked on the same my application closes and application logo disappears from my phone's screen and I couldn't find that expect play store, so I have to uninstall the app from play store and reinstall it..  I have been facing this issue since 3-5 months","3 people found this review helpful","Vodafone Idea Ltd.","November 2, 2022","Hi, We will definitely help you out with that. Please email us the concerns with your Vi number & screenshot at Social.ViAppCare@vodafoneidea.com. We will get back to you shortly - Team Vi",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_gizZNQp9lB2sAV8fN-QiSq_RYXHY-sdbtOmTmrWU=s32-rw","Tushar Garg","November 3, 2022","***edited- app becoming worse.. why it hangs alot..also app is not showing in recent apps like if I switch to other app in mid of using vi app, then it's removed from recent app.. guys pls make seperate apps for other services like games, songs, videos in one single app.dont merge with vi app. Bad experience... After update app is very laggy. Phone hangs when this app is opened. Consumes 500mb ram which is too high, even chrome takes 214mb around ram... Please fix n make app light n smoother.","23 people found this review helpful","Vodafone Idea Ltd.","June 15, 2022","Hi! We regret the inconvenience caused. Please email us your concerns with your Vi number at Viapp.care@vodafoneidea.com. We will get back to you shortly - Team Vi","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu__dsi0abf6G9CeX2lF9iGCl5z0t6MpJAc7Mom0Ug=s32-rw","Amit Budhraja","October 29, 2022","With the latest version update. It is now showing two seprate App icons. If I delete one of them, the other also gets deleted automatically. And I have already tried deleting and reinstalling the App from the Google Play Store - doesn't help.","4 people found this review helpful","Vodafone Idea Ltd.","October 29, 2022","Hi! We appreciate your feedback. We will surely try to make your app experience better. Moreover, you can enter your suggestions on the ""Share Your Feedback"" tab in ""the ""More"" section - Team Vi",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_TvKWXyPgdMevZtACvUFJ1EKD9FLVJeOnkzKsQjg=s32-rw","Sayan Mazumder","November 8, 2022","We just want a simple app Vi as we expect only a smoother service instead of 10 times otp timed out. Your app's front-end looks great but backend is worst. We have Google for our entertainment needs so you should just focus on what you do best, as a telecom operator.","4 people found this review helpful","Vodafone Idea Ltd.","November 8, 2022","Hi! We regret the inconvenience caused. Please send us your concerns with your Vi number at Social.ViAppCare@vodafoneidea.com. We will try to get it resolved as earliest - Team Vi","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu0bQS8N1DBJBx2KtLEsTW7IyPrxQzs8mIf2JGcV=s32-rw-mo","Rohan Kudalkar","November 5, 2022","The app is very user friendly and till date never had any hiccups regarding bill payment and using of other value added services. Would like to give a suggestion to add a small feature i.e. when you recharge for others can you add a small note below the number which was recharged, that the number of pending days for next recharge. This will help us to recharge that number when you have elderly people at your home, who can't remember. Would appreciate if this feature can be added. Thanks!!!","8 people found this review helpful","Vodafone Idea Ltd.","November 5, 2022","Hi! We are delighted to know that you are having an amazing experience with us - Team Vi",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-47cyBh687BoPwu37p0uvQCLJuFiewtymBSzeN0Q=s32-rw","Aarush MS","October 19, 2022","At first i hardly got 10 kb/sec. Now i have 10 mb/sec while downloading something.They have improved a lot in a year.This app offers 1gb free data till midnight twice a month .They have done a lote than possibly other networks and i yet dont know why you all sayin like this. This app does work fine unless you have a better network speed its not that much glitchy tho .They have improved a lot and i belive they will keep up","6 people found this review helpful","Vodafone Idea Ltd.","October 19, 2022","Hi! We are delighted to know that you are having an amazing experience with us - Team Vi","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu9VF1YSZk6zYhtq-L3Se5Mn3O00h8_skkrcNMYs=s32-rw","SW PP","October 8, 2022","Right now I am in ROAMING mode. All the settings are perfect. Also I Switched On/Off my device several times. Poorest of the poor experience. Of all the places at VARANASI I am getting message ""Emergency calls only"" since 3 days consecutively. This situation is very pathetic. Not at all called for a situation like this. It is a disgrace on the part of Vi. I feel ASHAMED when any body isn't able to contact me. Regarding Vi App : It is very difficult to find Feedback/Complaints buttons.","18 people found this review helpful","Vodafone Idea Ltd.","October 8, 2022","Hi! We apologize for any unintended inconvenience caused to you, and thank you for your patience. Let's look into it immediately. Please send us your number and details of the issue to Social.ViAppCare@vodafoneidea.com, and we will revert you as soon as possible - Team Vi",""
"https://play-lh.googleusercontent.com/a/ALm5wu0vR6af3qdeInGcRbcZoVuXiqiDsDgvLdbirPDa=s32-rw-mo","jalindar kene","September 24, 2022","From the last few days I'm not receiving good signals for calling and data. I have been using VI from many years but I think it's time to change the operator. Feeling extremely nurvous. The VI Android app is also not working properly as I was about to complain about service.","21 people found this review helpful","Vodafone Idea Ltd.","September 25, 2022","Hi! We regret the inconvenience caused. Please send us your concerns with your Vi number at Social.ViAppCare@vodafoneidea.com. We will try to get it resolved at earliest - Team Vi","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu9nf3rD9LvW0esF9cndR1tftauQ8Q8Ei4vGKRbc2Q=s32-rw","Night_Surfer","October 25, 2022","Vi is the worst network. It has a download speed of 40kbps,it can't even play a hd or full hd video without buffering at every 10 seconds and many times the network doesn't even work. I would have given it 0 rating if the option was available","6 people found this review helpful","Vodafone Idea Ltd.","October 26, 2022","""Hi! We regret the inconvenience caused. Request you raise a complaint about your network-related issue on the Vi app. Our team will get back to you shortly - Team Vi""",""
