"
  Time Planner: Schedule & Tasks","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/a-/ACNPEu_VtgZQBGu7S4vIvu1UuO7cdbw3rR90nkveq20z=s32-rw","Emalee Anne Field","","September 29, 2022","Was shaping to be the perfect planner for me BUT when I got to the last tutorial, statistics, the tutorial glitched and would not allow me to proceed or cancel out of the tutorial. Could only return to normal by restarting. Tried 3 times to make sure I hadn't done something wrong and it happened all 3 times.","5 people found this review helpful","Oleksandr Albul","October 1, 2022","Emalee, that should not be happening. Could you please tell me, where exactly the tutorial glitched? I need more info so I can understand what's wrong and fix it. Please stand with my Ukraine!"
"https://play-lh.googleusercontent.com/a/ALm5wu3KJ3uD02sMuY53FOMIQ748Tfpgfb1zCo_iyBR0=s32-rw-mo","Kristina Osbun","","October 7, 2022","I love the app! It's the best I could find, but I would find it so much better if there was a week view for the Calendar and if I could assign events to different calendars and filter them. You could even make this feature apart of premium.","4 people found this review helpful","Oleksandr Albul","October 11, 2022","Thank you Kristina! Well, weekly calendar is in my to-implement list. Please stand with my Ukraine!"
"https://play-lh.googleusercontent.com/a-/ACNPEu-6y-PoiIkOvVeKEgVTCVMyLDipv3Z7ktOANXQ0iw=s32-rw","apple lee","","October 28, 2022","I just downloaded today. It looks very customizable, but I found an issue. My tasks that go past midnight won't repeat (i.e. 10pm to 2am). Also the ""repeat"" option seems limited to numerical values, instead of allowing repeat on specific days (i.e. repeat every Tues, or every other Monday + Thursday....etc) like on google calendar","2 people found this review helpful","Oleksandr Albul","October 31, 2022","Apple Lee, yes, for this moment, repeating activities have this problem, and I hope to solve it. Please create 2 activities - 10pm-12am and 12am-2am. Also, if you set ""Repeat every _1_ week"", you can choose the days of the week you'd like activity to be repeated at. Please stand with my Ukraine1"
"https://play-lh.googleusercontent.com/a/ALm5wu2Xw_veRIg9NFLxBMiP2B3B0WERVQ-0QfndmoVL=s32-rw-mo","Yj gg","","November 6, 2022","is there any chance this app can be synced with Google Calendar? it would be even more perfect! At this moment it's little bit uneasy to import google calendar everytime to reflect the changes on the calendar.","","Oleksandr Albul","November 9, 2022","Thank you Yj Gg! The sync would require us to collect and store users data, that we don't do. So this inconvenience is the price of your total privacy. Please stand with my Ukraine!"
"https://play-lh.googleusercontent.com/a/ALm5wu38dGyQVDe07sa2XK3E5e8WPHx_oWXp4aKFZ65mrg=s32-rw-mo","Charles Chapman","Show review history","October 1, 2022","I finally figured out how to make it work for spending X minutes per week for about 30 various tasks, but I keep noticing tasks will disappear or the title will change to the category name. I thought it was me accidentally erasing them but I keep seeing it happening. There's a bit of a learning curve so maybe I'm just being dumb but for now I'm just going to use Excel.","1 person found this review helpful","Oleksandr Albul","October 4, 2022","C C, that should not be happening. Could you please give me more details so I can understand what exactly is wrong? Like, what kind of activities do lose the pinned tasks, does it happen with all of them, etc? Please stand with my Ukraine!"
"https://play-lh.googleusercontent.com/a-/ACNPEu8mhbNvaRGtkGJjgTVvFMlqT5ehMX8pC3xUrHoHRA=s32-rw","TeMaToS CyberSage","Show review history","September 13, 2022","As a game developer I have experience in distribution of digital products. Digital products doesn't need investments for each extra copy instead of physical copies, and in google play it doesn't need that at all. But, it is just my advice.","3 people found this review helpful","Oleksandr Albul","September 13, 2022","Thanks a lot TeMaToS! Actually there are different prices for most of the countries (where Google allows such a thing). The price for Ukraine is the lowest and compared to the price of an ok quality paper planner ) 🇺🇦"
"https://play-lh.googleusercontent.com/a/ALm5wu288YBZRcsDv0zpOyJ57Cz6CeMkJydz2k0-kFoU=s32-rw-mo","Maile Juntilla","","September 28, 2022","Super useful. I especially like how of something comes up that you didn't plan for, you can easily move your planned event down, and there's an option to move all your planned events down with it. It's perfect!","1 person found this review helpful","Oleksandr Albul","September 28, 2022","Thank you Maile! Please stand with my Ukraine!"
"https://play-lh.googleusercontent.com/a-/ACNPEu-SWnmQe9KgvbdVpgJqil-8TTAcv8jenYy4Zbbr4w=s32-rw","Sri Tanvi","","October 3, 2022","This app is awesome, as a student I really like this app as it helps me track even small events and the best part is its tutorials you have then for every thing, they helped me a lot. Thanks to this app that I am able to be productive and not neglect any small things.","1 person found this review helpful","Oleksandr Albul","October 4, 2022","Thank you Sri! Please stand with my Ukraine!"
"https://play-lh.googleusercontent.com/a-/ACNPEu8IrD0zLwYvF3kdNsIDmhheP0q0A0FGWuknGCRN=s32-rw","Patrick Ofosu-Hene","","September 19, 2022","This is by far the best planner I have ever used, but sometimes it becomes difficult to know where tasks of certain categories nested inside another are. I see no indicator to help me know a subcategory has a specific number of tasks. An indicator would prove quite useful.","","Oleksandr Albul","September 21, 2022","Thank you Patrick! Oh, if a parent category shows the number of tasks in it and in all its subcategories, wouldn't it create a mess? ) Please stand with my Ukraine!"
"https://play-lh.googleusercontent.com/a-/ACNPEu_VnBWGjRFdf7pjdljwGOYJQ-FUAz9Km-Oo_A9NJ5g=s32-rw","Sabrina's Nails & Hair Extensions","","September 18, 2022","I'm still figuring it all out but with the use of the tutorial, Facebook and YouTube available to help along the way this is the most all Inclusive app I've ever found!! Amazing and perfect and looks like it just keeps getting better and better","1 person found this review helpful","Oleksandr Albul","September 19, 2022","Thank you very much Sabrina! Please stand with my Ukraine!"
"https://play-lh.googleusercontent.com/a-/ACNPEu-koEfaR_UJzNPFaDJTIRFSlm8FOtZv4yVBp3V2MA=s32-rw","Franklin Oenga","Show review history","November 9, 2022","Great app for productivity. Highly recommended. Just one feature remaining for it to be 5-star: ability to sync with Google Calendar, and if possible other calendars. -response to developer: Thank you for the response. Could you then make the app not create a new category everytime you do a manual sync with Google Calendar? The new manual sync can overwrite the existing email category.","1 person found this review helpful","Oleksandr Albul","November 14, 2022","Franklin, the absence of accounts and full-featured sync is the price of total privacy. As this way we don’t collect and store any of your data — it is totally yours. In a few taps in Data tab, you can sync your data across your devices manually.
UPD. For this very moment it is not possible, sorry for inconvenience! Please stand with my Ukraine!"
"https://play-lh.googleusercontent.com/a-/ACNPEu8CJcP2aegxuhzzKIxEoGKdBJn93WqhEP9fhOia=s32-rw","OnceBittenTwiceHigh","Show review history","July 17, 2022","I've tried several time planning apps, but they were all very limiting, not what I was after, and/or too expensive for what they were. Finally, I've found something that actually delivers and is affordable (less than a cup of coffee for 3 months). It can be a little time-consuming to set up and learn all the features, but only because it's so customizable. As someone with ADHD who struggles with time management, it's such a life-changer to have my whole life organised in one app! Love it!","26 people found this review helpful","Oleksandr Albul","July 20, 2022","Thank you OnceBittenTwiceHigh! Please stand with my Ukraine!
UPD I'm so glad the app helps you, thanks for updating your review."
"https://play-lh.googleusercontent.com/a-/ACNPEu8te-jmEJf3kEKGE5mfkXKKB6QNvvApB6w2XLXS=s32-rw","Ethan Hodges","","July 31, 2022","I downloaded this app because it doesn't collect or sell data, and it has nice features. It works, so 5 stars. The one problem I have though is I skipped over it because the icon wasn't as appealing as others. Simplifying the icon to the 4 center circles, and possibly boosting the color saturation would make it more appealing to click on. I only say this because I appreciate a useful app that doesn't take data, and hope you can get more users.","79 people found this review helpful","Oleksandr Albul","August 1, 2022","Thank you very much Ethan! Hm, never thought of the app icon this way. That's totally something to think over. Please stand with my Ukraine!"
"https://play-lh.googleusercontent.com/a/ALm5wu1YT-K1AxVcSsnao7KNDRPiE99TXayyWQPLoXWp=s32-rw-mo","Ruby Jade","","November 8, 2022","Brilliant!!!! Best time planning app. Has timers and alarms. What's been planned (scheduled) v what's actually been done ( logged). Pie charts and percentages of time used for each activity, scheduled and logged. Incorporates lists and notes. Colourful. Easy to use. And the bubbles 😃 Slava Ukraini!","","Oleksandr Albul","November 9, 2022","Thank you very much for standing with my Ukraine, Ruby Jade! I'm glad you find the app useful."
"https://play-lh.googleusercontent.com/a-/ACNPEu-aOfWHgpxhJWHiEdYzSR8BoBWrCI2nR5-G0PleFQ=s32-rw","Getrude Mashano","","October 13, 2022","Honestly...its not the most straightforward application to use. Buuuut I honestly think it's worth the investment in time and energy. It helped me get back to functionality in the midst of debilitating grief. Need I say more?","","Oleksandr Albul","October 17, 2022","Thank you Getrude! I am sorry for your loss. Please stand with my Ukraine!"
"https://play-lh.googleusercontent.com/a-/ACNPEu_dYMuSmN7nHvm51EMPkZSmoyVJ63keWKDVvJsEUQ=s32-rw","Goshlik Krudbahr","Show review history","November 4, 2022","Forty bajillion features, but simple ones like creating task categories does not exist. Perhaps too many features: by the time you finish the required tutorial, you can no longer remember what the first tutorial topics even were.","","Oleksandr Albul","October 19, 2022","Goshilik, there are plenty of simple planners out there, I wanted to make something more sophisticated. Anyway, about ""task categories"" - every task is in one of the categories, but maybe you mean tag system that marks your tasks with extra labels. Well, you can create the tag system for your needs. Please stand with my Ukraine!"
"https://play-lh.googleusercontent.com/a/ALm5wu3J-6kM91JZoJWtXzyd1eUTdm2C096zZYtm1mgb=s32-rw-mo","Onome Emakuneyi","Show review history","October 12, 2022","I have been unable to use this app for some months now, as the alarm and reminder are not working even after activating do not optimize and notification access. it has been frustrating to use.","1 person found this review helpful","Oleksandr Albul","October 13, 2022","Onome, that also can be a battery saving mode - some Chinese vendors like to kill the app on background while this mode is active. Will appreciate if you let me know if it is it. Please stand with my Ukraine!"
"https://play-lh.googleusercontent.com/a-/ACNPEu_QyXU9sSSx9RMl0N3hOpM7dVNOretym6o1oVb83g=s32-rw","Prashant Sharma","Show review history","November 3, 2022","Alarm reminders are not working. they are working as normal reminders without any tone, sometimes with the regular tone, but not alarm tone. Need you help on this. There is no reply on the help forums I have sent mail to various forums of yours but there is no solution. DIDN'T EXPECTED THIS KIND OF POOR SUPPORT EVEN AFTER BEING A PREMIUM USER","1 person found this review helpful","Oleksandr Albul","November 4, 2022","Prashant, have found your letter and have already replied. Please stand with my Ukraine!
UPD Haven't you seen my reply 5 days ago, both in your inbox and our forum? Here it is: https://olekdia.groups.io/g/timeplanner/message/2564"
"https://play-lh.googleusercontent.com/a-/ACNPEu9RTprjPxEYA7z2SEUa1f4ysIhL4Kg7A6U61T5t=s32-rw","Kim -Urban- Edwards","","July 25, 2022","The BEST schedule App for adult ASD + ADD on Google play. Rest assured I will be back to edit this (fairly) if that ever changes, but having gone through dozens of apps - including those claiming to be intended for ASD/ADD - the competition isn't even close. The free version does everything I need and the paid version does everything I want. Tutorial is accessible, tools are visual and functionality is sublime. Paid version is seriously affordable compared to others. Thanks for making this!","17 people found this review helpful","Oleksandr Albul","August 1, 2022","Thank you very much Kim! I am so glad the app helps you. Please stand with my Ukraine!"
"https://play-lh.googleusercontent.com/a/ALm5wu2IH9ziZdiyn9ZYnLcl7Z1J7vMp1seXaYXmePk2=s32-rw-mo","Rebecca Scott","","August 19, 2022","I downloaded it to check it out, haven't gotten super far into it... Since the calendar is an import....not a sync. Without it syncing... I don't think it's particularly useful unfortunately. I need to use my Google calendar for things... And I don't want to have to update calendars in two places. :/ Great idea, but not worth it without a sync.","10 people found this review helpful","Oleksandr Albul","August 23, 2022","Rebecca, the absence of accounts and full-featured sync is the price of total privacy. As this way we don’t collect and store any of your data — it is totally yours. In a few taps, using backup in Data tab, you can sync your data across your devices manually. Please stand with my Ukraine!"
"https://play-lh.googleusercontent.com/a/ALm5wu0GzLDYU2NTbmNwzFkGJVXtvWRH2IdHV_Uekq9T=s32-rw-mo","Amina Khakimova","Show review history","November 8, 2022","An excellent app. Upd. I had a problem with the notifications. Switching priority to ""for Android>=6"" in the settings helped.","","Oleksandr Albul","November 9, 2022","Amina, seems like your new device does not allow the app to go fullsceen. To fix it, please go to system settings -> Apps and notifications -> Time Planner -> Notifications -> Alarm -> Pop on screen -> On (some names may vary on your device). Please stand with my Ukraine!
UPD. Glad you have it fixed!"
"https://play-lh.googleusercontent.com/a/ALm5wu2a4iioVy1sw2iqDDQGaFTwn-Y1q5bJkU55LAnB=s32-rw-mo","Kevin Pritchard","","November 11, 2022","Love this app. A bit of of learning curve to start with but very customisable to ones particular needs. Paid the subscription straight away as so reasonable.","","Oleksandr Albul","November 14, 2022","Thank you Kevin! Please stand with my Ukraine!"
"https://play-lh.googleusercontent.com/a/ALm5wu3D1HeVoVexWa_XLNjSnxE-neHwk3MsVUasdEpV=s32-rw-mo","Nancy Babineau","Show review history","August 12, 2022","Great time-planning, & logging (ie my plan vs reality), app! ...esp if you like details! (Included tutorials & how-to videos are super helpful for setup & making full use of all amazing functions.) A favourite feature is option to assign items to 'part of day' vs specific time; makes planning more flexible. Dev always respond, friendly, open-minded & helpful. Would love to see 'Tasks' aspect be more developed in order to use for GTD method. If so, I believe this calendar could do it all!","8 people found this review helpful","Oleksandr Albul","August 15, 2022","Thanks a lot Nancy!
UPD. What exact issues do you mean? Please pray for Ukraine!
UPD2. Oh I see. Will think about how I can do that!
UPD3. Repeating tasks now are closer for GTD, don't they? )"
"https://play-lh.googleusercontent.com/a-/ACNPEu8pqf2lbfEkuClJrWkkLvjPnHdrFZJd0FoZVd7FIQ=s32-rw","Poppy B","","September 9, 2022","I don't think I've ever found a better planner, its a lil complicated at first but the tutorials sort it right out. Love that it lets you set scheduled lists of tasks it's helping me feel less overwhelmed :))) also you can turn off all the premium bits so thats useful","","Oleksandr Albul","September 13, 2022","Thank you Poppy! Please stand with my Ukraine!"
"https://play-lh.googleusercontent.com/a/ALm5wu060yhK4DBWYyUuvoz9Rg5eGaB_3MgdHL9w8mCY=s32-rw-mo","Liliya Georgieva","","September 2, 2022","This is an amazing app❤️ I love it so much and I tell everyone about it🤗 It is everything I have always wanted. There is just one thing I don't understand. When I have a system notification about uploading, and the alarm reminder doesn't ring 😔 which is a bit bothering to me. If there is any way to prevent this, I would be grateful☺️","","Oleksandr Albul","September 10, 2022","Thank you Liliya! Please check your system settings -> Notifications section -> Time Planner -> Allow. And another section Optimization -> Time Planner -> Do not optimize. Please stand with my Ukraine!"
"https://play-lh.googleusercontent.com/a-/ACNPEu9UanJ65mfdul5RKZwXqxB09wFVURdEne9GPJu8zg=s32-rw","John G.","Show review history","September 11, 2022","EXCELLENT App. I really can't understand why people place bad remarks on complexity. Bug: If I change the schedule of a task for today I can see the schedule but the included tasks are not displayed. Need to close and restart the app. Some kind of refresh of the pubbles page is needed. Is it also possible to show the active time left for the current day in the categories view (ie time left of all active jobs)??? It will be very helpful because it will show how much time is left to do for the day","55 people found this review helpful","Oleksandr Albul","September 13, 2022","Thanks a lot John! Glad you find it useful!
UPD Hm, that's an idea. Please stand with my Ukraine!
UPD2. Version 3.20 should have this fixed. Please update and check if the problem is solved."
"https://play-lh.googleusercontent.com/a/ALm5wu2Yap4SiEcfmPI-uBncmaXEWNlImKQ1wUmbv39M=s32-rw-mo","Edson16 Ylagan16","Show review history","September 14, 2022","Dear Devolepers, I am still using this app and I still love it. But I have a request to make. Instead of merging the bubbles and having some tasks hidden, can we choose which bubble to merge together? It would be more organized instead of making a task and having a duplicate (one would have a timer but once the timer is completed the task still stays there and you have to check it. I wish there was a feature on this one.) If this is already on this app then please reply so I could update rating.","23 people found this review helpful","Oleksandr Albul","September 19, 2022","Thank you very much for your support Edson! Please stand with my Ukraine!
UPD. Hm, that's something to think of. I'm not sure though, how thiscould be named so it is short and not confusing )"
"https://play-lh.googleusercontent.com/a-/ACNPEu9JsfrfT7PRfA2f-if3pCnNnYrsDwnzorBFk_Zg=s32-rw","jenkiez","","September 3, 2022","This app has really helped me to keep all the things I have to do organized. Being able to mark items off as I do them has helped me to complete tasks. I enjoy the satisfaction of being able to see what I have completed throughout the day. This app has really helped my ADHD.","","Oleksandr Albul","September 10, 2022","Thank you Jankiez! Please stand with my Ukraine!"
"https://play-lh.googleusercontent.com/a/ALm5wu2x322R1EM8Kj57J5w64MaZnZtR79Zc6FezXS4k=s32-rw-mo","Anna K","","September 13, 2022","How do you turn off notification sound for scheduled tasks if it is not even showing up? It keeps playing several minutes and becomes really annoying.. cannot find where to turn off even when going through all settings and edits ...","","Oleksandr Albul","September 19, 2022","Anna, please go to Options tab -> Reminders -> Stop alarm after -> 1 m. Please stand with my Ukraine!"
"https://play-lh.googleusercontent.com/a-/ACNPEu-OXKZ4uHhVX86i90B6h2GSDYI7eOWjbxOqQcsSXg=s32-rw","Sarah Parker","","October 24, 2022","Great app, didn't push the premium version so I bought it! It helps me be more productove and see in what areas of my life I'm spending the most time. Would recommend!!","","Oleksandr Albul","October 31, 2022","Thank you Sarah! Please stand with my Ukraine!"
