"
  Walli - 4K Wallpapers","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","","March 12, 2019","This application is a beautiful one, that gives artists, and aspiring artists to create and recreate, advertise and showcase their work, even earn off of it. Coming to the application usage, it is user friendly, straightforward, smooth operations, but has scope to improve on the existing options that we have already, which eventually is improved through the regular updates.","2 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","March 25, 2020","I am one of those person who feels the need to change his wallpapers frequently, and so i need a good app for it. Came across Walli, and the experience on offer is genuinely unmatched, plus it also offers credit to the artists. The wallpapers are well categorised and tagged, and the collection itself is stunning. Its everything i could have asked for and more. Cheers developers","11 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","","January 4, 2019","Great app for a variety of wallpapers. It's more than just wallpapers basically. One will know who created them and follow the artists and get to see more of their work. It's just so satisfying to see such amazing pictures, sketches, portrays and graphics and so much more all at one place. Totally loved it ! 😍","3 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8x4Sf02K0FjrxOc6gN-NvpFZijAoa-anBYKNUfmw=s32-rw","Pravar Saran","Show review history","June 11, 2021","Great app. Love the new dark theme, but when you download an image, the pop up page saying ""downloading"" is completely white. Just make that dark too please. Reduced 2 stars for the opening ""subscribe to pro"" page. I don't have a problem with pro versions, it's just the way your app opens, it very easy for people to accidentally click the trial button (which automatically charges after 3 days). Had to delete it from my sisters phone incase she accidentally purchased it.","27 people found this review helpful","Tap-Mobile","June 13, 2021","Hi, Pravar. We regret to hear about your negative experience with our app. We are happy to hear details about what you think can be improved. Please reach out at support@tap.pm"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","October 12, 2018","Wow! The best and least cluttered app of all time! It has ads and all but they are not annoying at all. And most of all the wallpapers are so good!! Theres something for everyone! Video games movies,foodie,humour everything!! Also I have a suggestion- would be cool to have a feature that let's you set random apps daily!","5 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu--jMh3HCufnMg98B0ZYs3eLt9ixAFry1C85Xvk=s32-rw","Krishn Agarwal","Show review history","March 3, 2021","Good wallpapers. Good features. Downloading options available. You can contribute and can showcase your art as well (unlike some other apps where its allowed, but you're ignored). The only problem I faced was that the queue to apply as an artist was full. Hope they allow fast and in-bulk entries for interested people.","24 people found this review helpful","Tap-Mobile","March 12, 2021","Hi Krishn, Thank you for your feedback. We are sorry that you don’t like the app. We take feedback to heart and integrate it into future updates, which will surely create a better experience for you. Please contact us at support@tap.pm, we’d like to hear more about what you’d like to see in our app. Thanks, -Emma."
"https://play-lh.googleusercontent.com/a-/ACNPEu_F_MrsGoXUskFDd66OzlmDYxSMnuGJ8npsmMt2zyg=s32-rw","Jay Chaudhary","","August 26, 2021","I've been using this app for years and I am a premium member of it too. The UI change is so bad. Please bring back the old one. The new one looks like some kid wanted the app to look cool. I want that quick button to add any wallpaper to my Playlist. Till another update comes, I'll be using another wallpaper app, even if I have to see some ads there. Walli has become unusable for me.","33 people found this review helpful","Tap-Mobile","August 28, 2021","Hi, Jay. Sorry to hear you are disappointed with the app. We welcome you to send more detailed feedback to support@tap.pm, as we are continuously working to improve and greatly value customer feedback. Thanks, -Anne"
"https://play-lh.googleusercontent.com/a-/ACNPEu-US1LHNKjJ4KTVPSgjioCry2XkcCK2dBuAonW26g=s32-rw","Somebody Once","","June 5, 2021","I used to put walli wallpapers all the time. Never had to look for an alternative. Even paid for premium. One day out of nowhere the premium plan switched to subscription. It was raining ads. This was a place i came to after deleting instagram for the artists. But hey, a business got to make money right? And i have to move on a better platform. Oh and thanks btw i almost forgot.","2 people found this review helpful","Tap-Mobile","June 7, 2021","Hi, Sorry to hear you are disappointed with the app. We welcome you to send more detailed feedback to support@tap.pm, as we are continuously working to improve and greatly value customer feedback. Thanks, -Anne"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","","October 7, 2019","Though this app has good set of wallpapers. It is very poorly designed! There are so many ads just so many ads! Come on! Plus it asked me select few wallpapers before logging in, it then saved a play list of those. Once I logged in all my selected wallpapers were gone! Are you kidding? I took so much time to select those wallpapers in my Playlist and after logging in you remove them? Ohh and yes the auto wallpaper change does not work on the oneplus 7.","8 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu91vTTmlP66Z5vZlGDZFCQJBbB84maBoMqYsdkL=s32-rw","Sanskar Suryawanshi","Show review history","December 21, 2020","The app is great. All wallpapers and features are nice. But I have an issue, when I set a wallpaper, the wallpaper appearing on Home screen is cropped and it feels zoomed towards the centre of wallpaper. This kind of removes the fun part. It will be great if you will fix it. Thanks for the service.","2 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-gf7NUp0tjqCWLCLCwdDPampClb7hFIfOYpt5dk6U=s32-rw","Corn Blaster","Show review history","August 6, 2020","Arguably it's the best wallpaper app available in play store. I love and appreciate wallpaper apps that just don't list a bunch of wallpaper but categorises them based on style. It also gives due credits to the artists and allows us to follow the artist whose work we love the most. That's a really a nice incentive.","3 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-_WDSMK0ZxPCVmJtgMPzLJaBGsS26QftmVUHD33A=s32-rw","Devin Cheek","","October 6, 2022","I really enjoy this app and it has worked really well for me but since I upgraded to an s22 ultra it'll only work for about a day before the Playlist will pause itself again and I have to restart it. The selection of art is pretty good and the premium is cheap. And you can upload your own images into your Playlist which is so nice. Just wish I didn't have to restart it all the time.","23 people found this review helpful","Tap-Mobile","October 7, 2022","Hi, Devin. Thank you for your rating and kind words about our app. We work hard to deliver a great app experience, and are happy to receive feedback like this! We hope you continue being a loyal user and please reach out with any suggestions. If you love the app, please consider changing your rating to 5 stars. Thanks, -Anne."
"https://play-lh.googleusercontent.com/a-/ACNPEu_TiCK9BY3tH5_p6bwj3l4jYVAHDf3CoWCJqeDbuw=s32-rw","Sarah McPherson","","August 21, 2022","Way too restricting. Without premium your options are super limited. It only lets you have a few pictures you can rotate through and even if you make more than 1 playlist it won't let you actually play them. I tried swapping pictures out so I could change things up but again it's restricted. I don't mind having to wait a little to add more to my playlist but just not being able to kinda sucks. If you don't want to pay for premium don't get this app.","55 people found this review helpful","Tap-Mobile","August 23, 2022","Hi, Sarah. We regret to hear you were dissatisfied. The free version of the app displays ads and limits capabilities. The paid pro version will allow an ad-free experience, unlimited downloads and playlist functionalities. You can experience the full potential of the pro version with a free trial before committing. Thanks, -Anne"
"https://play-lh.googleusercontent.com/a-/ACNPEu-SNQwEC9QqL1n5VJgQefjSeBYsBEsU5gr2tUhYiUo=s32-rw","Harry Cliff (Klaus Anderson)","Show review history","August 15, 2022","Broken app, and I need to find a replacement. It's terrible. I regret buying the premium, but the basic app is so neutered I had to give it a shot. There's some really good art on here. The feature to automatically update your wall paper every few minutes hasn't worked in over a year. I set the playlist to run, but it never done.","58 people found this review helpful","Tap-Mobile","June 7, 2021","Hi, Thank you for your feedback. We apologize for any inconvenience using the app. We take feedback to heart and integrate it into future updates, which will surely create a better experience for you. Please contact us at support@tap.pm, we’d like to hear more about the issue you encountered. Thanks, -Anne."
"https://play-lh.googleusercontent.com/a-/ACNPEu93jpvoizm98AfkIhXmrPXOaHAO7w3SQJkKl5GoQgw=s32-rw","Nancy McCormick","","October 24, 2022","After about an hour my collection stops rotating automatically. I have to go in and manually restart it rotating, if I want. It's set to rotate every 30 mins but it gets stuck somehow. It's irritating. Otherwise this is one of my favorite apps, so it's frustrating not to be able to give it 5 stars.","3 people found this review helpful","Tap-Mobile","October 25, 2022","Hi, Nancy. Sorry to hear you are disappointed with the app. We welcome you to send more detailed feedback to support@tap.pm, as we are continuously working to improve and greatly value customer feedback. Thanks, -Anne"
"https://play-lh.googleusercontent.com/a/ALm5wu3s8D9HBQaJueTC2yuQ8oR8u-sGqc8xyslNWqky=s32-rw-mo","Bob Cronin","","August 31, 2022","Only just started using this but so far it's pretty great for a free app. Very easy to use, there's lots of free background images that are stunningly beautiful, and it's very easy to set them as a home or lock screen background. There are ads to deal with but they're not terribly intrusive. This is exactly meeting my needs.","6 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu2pxMDGiwj6GYE41mSvz3j09OkmKz8caih11Ks2=s32-rw-mo","Christi Brown","","September 26, 2022","I've tried out more wallpaper apps than I care to admit and this one is by far my most favorite! Especially considering how it's free to use, is compatible w/almost every phone out there, and truly has the greatest selection of the most beautifully eclectic and intensely eye catching images out there!!! Thanks again for making this by far Best downloadable wallpaper app out there to date!","4 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu23NK2VEmUeqgEIW47ciJH4QoKQH6BqYRCdonm_=s32-rw-mo","Maxim","Show review history","September 23, 2022","Rich image base. 2 stars for numerous bugs and missing features: wallpapers are not cycling in random order, but cycle through a set of same images; the app stops working after several days (this is not related to deep sleep). Those issues are not addressed since Feb 2020. The app is VERY buggy. E.g., as of Sep 2022, I get notifications to follow the app on instagram over and over again.","162 people found this review helpful","Tap-Mobile","May 20, 2021","Hello we've released a fix - please update to V537 and check again"
"https://play-lh.googleusercontent.com/a-/ACNPEu9ZAe9YYyNSxTD5_t7xCbgnsdathvju7W7wpalX2Zg=s32-rw","Duver","","November 16, 2022","I enjoyed the app, bought premium, but now seems abandoned, no new wallpapers, nor updates for months. The app scrolling is not smooth and after few minutes scrolling feels very sluggish. Also when you apply a wallpaper to see how it looks, you go back and the scrolling restarts making you scroll through tons of pictures again.","1 person found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8oB6RWLitZOxM_c9Wk78tcxQ_4qYz48EPCpWrIjQ=s32-rw","Maureen Montoya","","November 8, 2022","BY FAR THE 🥇🏅BEST WALLPAPER APP! I've experienced no glitches, Huge selection , Well catergorized, My liked images are saved in my profile, Able to read artist bio and interact with artist, No problem downloading and setting image to lock screen or home screen, Can make a playlist ... And more... and all this for FREE!!","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-S3mU0D6BqGr6G-NY6o31ei7v9If46OtbqgF5vjw=s32-rw","Matthew Warr","Show review history","October 25, 2022","Free trial worked great. Now I am reverted to the ad version, the app keeps crashing when trying to apply a new wallpaper on my home screen/lock screen. I've sent a crash report from my Android device with crash logs. Please fix this issue.","","Tap-Mobile","October 27, 2022","Hi, Matthew. Sorry to hear you are disappointed with the app. We welcome you to send more detailed feedback to support@tap.pm, as we are continuously working to improve and greatly value customer feedback. Thanks, -Anne"
"https://play-lh.googleusercontent.com/a-/ACNPEu9G-D8DIhgR3pDifS0nsgXC7T-aswOdheNQ5dPh-Q=s32-rw","mj jm","","October 25, 2022","I love this app! There wallpaper on here is much higher quality than similar apps. There's usually an ad after each download which of course is pesky, but if I'm too cheap to buy premium, the least I could do is watch their ads for access to these beautiful images!","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-D_dUJ65sLTcuGaI-eRo-ji05W3g_qE-qtBi9s=s32-rw","COD warrior BD","Show review history","October 30, 2022","Watch an advert for downloading an wallpaper? Each and every time? No thanks. Also the app is not optimized for 120 fps. Crashes randomly. There are lots of other better options out there. Uninstalling now...","1 person found this review helpful","Tap-Mobile","November 1, 2022","Hi. Sorry to hear you are disappointed with the app. We welcome you to send more detailed feedback to support@tap.pm, as we are continuously working to improve and greatly value customer feedback. Thanks, -Anne"
"https://play-lh.googleusercontent.com/a-/ACNPEu_geggdQpDjX97HZf__jsmtvkvQHtcIuxGYuV7CHEs=s32-rw","Sean King","","August 8, 2022","Beautiful. . .when it works. . .it rotates about 10 wallpapers then stops for some reason. I have to restart the app and start the process via the play button. . .outside of that, it's a great app with a large variety of beautiful high res wallpapers to fit any phone.","7 people found this review helpful","Tap-Mobile","August 9, 2022","Hi, Sean. Thank you for your rating and kind words about our app. We work hard to deliver a great app experience, and are happy to receive feedback like this! We hope you continue being a loyal user and please reach out with any suggestions. If you love the app, please consider changing your rating to 5 stars. Thanks, -Anne."
"https://play-lh.googleusercontent.com/a-/ACNPEu8HjZvoSsTXxVAQtglVFh65b-3eYM07mfmc02XJ=s32-rw","Sufyan Jamal","Show review history","October 11, 2022","So far I am loving this app. It has the best wallpapers I have ever seen. I would definitely recommend this app as it has a vast variety of wallpapers, they are ordered in categories. The ads on this app don't pop up frequently and they are appropriate ads. Overall this is a great application to have on your phone if you're looking for high quality wallpapers.","124 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu2TMPYEjqeW_8ee_2isNVVz3lt5XlpEBdRtmtDp=s32-rw-mo","Paul Scullion","Show review history","August 27, 2022","Along with Backdrops this is my favourite wallpaper app. Loading times for wallpapers are instant and any ads that pop up, as you're downloading your chosen wallpaper, are at most 5 seconds long and easily skipped at the end. Hats off for the massive selection and the quality. A joy to use","","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu1-LoptwreelF_JpgSBIoRm4FFiEy7syYGI-9l5=s32-rw-mo","Suzette Febles","","October 3, 2022","Great wallpapers, but I find the instructions are difficult for me to follow. I open my app about once per month to swap my wallpaper. I have to reacquaint myself with the instructions which takes twice as long as creating a playlist.","2 people found this review helpful","Tap-Mobile","October 5, 2022","Hi, Suzette. Thank you for your rating and kind words about our app. We work hard to deliver a great app experience, and are happy to receive feedback like this! We hope you continue being a loyal user and please reach out with any suggestions. If you love the app, please consider changing your rating to 5 stars. Thanks, -Anne."
