"
  To-Do Adventure: Task Tracker","username","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb","VfPpkd-StrnGf-rymPhb-b9t22c 2"
"https://play-lh.googleusercontent.com/a-/ACNPEu_NyWdsn2o9rs8d-k2RvL26U29-5PHGjhXzBhq56Q=s32-rw","Monae","January 8, 2022","Seems to be broken after latest update. Constantly crashing, and if you login and it doesn't crash, it will take you to an unresponsive tutorial page. App keeps crashing even if I uninstall, reinstall, force stop, and close cache. It's overall a cute app with a lot of potential and I would recommend.","15 people found this review helpful","","","","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu9-75u058i9w1VFyUcvSJJKr-dvATEn3qEFJjQutw=s32-rw","icarus","April 23, 2022","I really liked it but I wish there was a pomodoro option, an 120 megabyte app for just tracking and completing tasks is not what I was looking for. also there's some problems on entering RTL languages (farsi) as task name. overall it's a great app, work on adding some time management (pomodoro) and social (see friends studying or who done how many tasks) features.","3 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8Zqf3OdojUPPpjFBX0X8cvsy8SnxqWBNZovOxDRQ=s32-rw","Linnéa Sara Jenner","June 8, 2022","This app is really cute and I love it, except you can only set tasks to repeat weekly or monthly, not every 3 days/weeks for example. I would really like to use this app but it's difficult for me without that function.","","Fourdesire","June 13, 2022","Hi Adventurer, we're sorry for the unpleasant experiences. We have recorded your suggestion and feedback, thanks again for your review and sharing. Please contact our Support Team at To-Do Adventure → Settings → FAQ if any further assistance is required. Thanks! - Fourdesire Support","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu8MiciM4yiYt-kCw5_F2TgsVLnAqfUss4irRDBv-7o=s32-rw","Quinn Lin","March 9, 2022","I love everything about this: account syncing, theme, awards, interface....except I don't like having to pay to upgrade things, but MOST IMPORTANTLY I give it 3 stars because there is no Add Friends/Share Tasks feature!! My boyfriend and I share Any.do list together where we can both sync our to do lists and can ""assign"" tasks to each other. It is really nice to schedule stuff together or see the other's daily tasks.","5 people found this review helpful","","","","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu9Nk5nkoESV62M2b06YXusqOnTnrBEIYzFf0AeCWA=s32-rw","Antigoni Sevastaki","January 25, 2022","Very useful, easy to use and adorable app. My only issue is that when I touch around the screen, there are constant feedback vibrations. I'd like to see an option when I can turn them off. Vibrations are very annoying and battery draining.","","Fourdesire","September 23, 2022","Hi Adventurer, thanks for sharing! We are planning to add some user feedback to our App! If you are willing to do this, please fill in the form below: https://forms.gle/beY2ac9RMUrhk983A A bonus reward of “100 GoCoins” will be sent to you if your reply has been chosen! Let's encourage more people to join To-Do Adventure and improve daily habits!",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9JH5QFccRAn83Zf7Aulciyb8zgJUD0je0Rc__Z=s32-rw","Cassius","March 9, 2021","This app is super cute and I really like the idea behind it, but sadly it won't really work for me. There is the option to set tasks for 'someday' rather than a specific day, which is great, what's not great is that those tasks can't really be viewed after that. There's no masterlist of tasks and the schedule only displays tasks set for a specific day. That essentially makes this more like a calendar app than a to do list app, which isn't what I downloaded it for :(","463 people found this review helpful","Fourdesire","September 8, 2021","Thank you for using To-Do Adventure. I will submit your feedback to the Island Development Team. Feel free to contact us via Settings, tap on FAQ and click on Contact Us at the top-right corner, the player support team will hop in to assist. Thank you for sharing and good luck on your adventure journey!",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9gg0uyhfFG5gH3OVpeaMb4yO786Dgu2OAG1RapQA=s32-rw","Gabriel Palmer","January 5, 2022","Amazing concept and very well-presented. Unfortunately it's quite unfinished at the moment. Laggy interface and crashes. I'll keep it on my phone for now and just wait until it's functioning before paying for the ad-free version.","5 people found this review helpful","Fourdesire","September 23, 2022","Hi Adventurer, thanks for sharing! We are planning to add some user feedback to our App! If you are willing to do this, please fill in the form below: https://forms.gle/beY2ac9RMUrhk983A A bonus reward of “100 GoCoins” will be sent to you if your reply has been chosen! Let's encourage more people to join To-Do Adventure and improve daily habits!","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu0Zwv8NFbjImcbUnU8r1vYB2n3Iqegpx294yDI_=s32-rw-mo","Mal edictions","April 25, 2021","I haven't been using it for long but it's definitely something I plan on using for a long while - I just wanted to suggest maybe being able to delete the islands that are made from a deleted task? Otherwise you just have those yellow crosses there and it doesn't look so pretty :'(","9 people found this review helpful","Fourdesire","September 8, 2021","Thank you for using To-Do Adventure. I will submit your feedback to the Island Development Team. Appreciate your patience and comment, we'd love it if you give us a 5-star rating! Feel free to contact us via Settings, tap on FAQ and click on Contact Us at the top-right corner, the player support team will hop in to assist. Thank you for sharing!",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_VDRvg_GtV4CRlVBJRdYQ-D0nBnzajjA0GahQUNQ=s32-rw","LEO the amazing wizard","March 10, 2021","This app has really helped me keep to my habits and schedule, however I wish there was an option to turn vibration off. My phone is almost always on silent because I'm glued to it anyway so I'd know when I get notifications, and I hate when the phone vibrates especially when I have it on a phone stand because it's very loud and I'm sensitive to loud noises. Otherwise a good experience using the app.","261 people found this review helpful","Fourdesire","September 8, 2021","Thank you for using To-Do Adventure. I will submit your feedback to the Island Development Team. Appreciate your patience and comment, we'd love it if you give us a 5-star rating! Feel free to contact us via Settings, tap on FAQ and click on Contact Us at the top-right corner, the player support team will hop in to assist. Thank you for sharing!",""
"https://play-lh.googleusercontent.com/a/ALm5wu2BK1XGVR66zf63xZmgbc_e3ORSn41ynEl2fHP4=s32-rw-mo","S. E. Priddy","April 13, 2021","Did not work for me. Assuming a bug. Motorola g7. Could not find the way to access settings or help. Was trapped in an endless cycle of creating new plans. Looks like an otherwise great app.","3 people found this review helpful","Fourdesire","September 8, 2021","Thank you for using To-Do Adventure, I'm your Island Assistant today. I understand the app isn't working properly and we apologize for that. The Island Development Team is working hard to get bugs fixed, please hang in there with us. Appreciate your patience and comment, thank you for sharing :)","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu9RRdS89-JMJCLZF3eY0FD0rkiy5mrgNbBGsGTkiA=s32-rw","Sarah Decoteau","July 24, 2021","Lovely concept, but the app doesn't work. It gets partway through the tutorial then becomes unresponsive. I tried contacting the devs before writing this review, but 3 weeks later and I still haven't gotten a response.","26 people found this review helpful","Fourdesire","September 6, 2021","Thank you for using To-Do Adventure, I'm your Island Assistant today. I understand the app isn't working properly and we apologize for that. The Island Development Team is working hard to get bugs fixed, please hang in there with us. Appreciate your patience and comment, thank you for sharing :)","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu__E9aBC6zs7qXnp--KpB1oE1RSvmCZz0QIe28A=s32-rw","Zoe Beanill","May 31, 2022","Very cute graphics and it makes it easy to organize your to do's. You get to see your nice island as a bonus reward at the end. Love it","","Fourdesire","September 20, 2022","Hi Adventurer, thanks for sharing! We are planning to add some user feedback to our App! If you are willing to do this, please fill in the form below: https://forms.gle/beY2ac9RMUrhk983A A bonus reward of “100 GoCoins” will be sent to you if your reply has been chosen! Let's encourage more people to join To-Do Adventure and improve daily habits!",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-U2X--Ram6O99nmB3JsXLDIf7dfwIw4PM3xRJNEw=s32-rw","Ganja Lover","November 3, 2022","Day 2 but going great and I'm autistic so helps alot for me to stay organized but also get the checking off reward... I think it's a good and easy app❤️","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8Hk7xh5uMCuRn8HnAkBLULvrc-Of7LpL7_r2PQAso=s32-rw","Sarah Amira","June 28, 2021","I actually too lazy to rate an app.. but this was an exception. The user experience is convenient and fun for a non-game-person like me. somehow it really make me feel like i'm on adventure towards productivity. Who knows productivity could be this fun? Anyway, i hope the developers make more themes so it'd much more varied.","15 people found this review helpful","Fourdesire","September 20, 2022","Hi Adventurer, thanks for sharing! We are planning to add some user feedback to our App! If you are willing to do this, please fill in the form below: https://forms.gle/beY2ac9RMUrhk983A A bonus reward of “100 GoCoins” will be sent to you if your reply has been chosen! Let's encourage more people to join To-Do Adventure and improve daily habits!",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_sRmpLGd5zoinENniRBbjYWdSywvL0AimfaFPlwQ=s32-rw","Krisalyn Lineback","July 1, 2021","Had to uninstall cause I would go to add task and it would jump to say I completed my plan when I had just started it. It did this several times and I reinstalled it thinking it would help but it didn't. Please consider addressing this and I'll reinstall again.","1 person found this review helpful","Fourdesire","September 8, 2021","Thank you for using To-Do Adventure. To better serve Adventurer and provide a thorough inspection on your account data, could you go to the Settings and tap on FAQ, and click on Contact Us at the top-right corner so the player support team can assist with the issue you faced? Appreciate your patience and comment, thank you for sharing :)",""
"https://play-lh.googleusercontent.com/a/ALm5wu3uEpCsKx_iUFwJ0HOBS4V3bVk-GkHfHjF6PAm9=s32-rw-mo","Jocelyn Ledesma","July 20, 2021","I'd give it a better review if the app didn't charge me to remove ads but instead instantly started sending me to the app store for the apps instead even when. I payed for no ads seems but can't enjoy it while I'm constantly getting kicked from the app to the app store","4 people found this review helpful","Fourdesire","September 8, 2021","Thank you for using To-Do Adventure. I will submit your feedback to the Island Development Team. We'd love it if you give us a 5-star rating! Feel free to contact us via Settings, tap on FAQ and click on Contact Us at the top-right corner, the player support team will hop in to assist. Thank you for sharing and good luck on your adventure journey!",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9BwKLkFE_derv4jXffEgcxdEnySMenVjoNlBXtgGg=s32-rw","Marcus Sew","September 19, 2021","I love this company's other apps, but TDA is not one of them. Planned & recurring tasks missing in a sudden, and completed task still appear in notification and stated not complete, and no update or fixing for a very long time.","5 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9B5ucgElkMk6pJGmSTLmer7SXSo8qZhSjQgBqo_w=s32-rw","Floofpan","March 2, 2021","EDIT 3/3: I found how to do it (editing my categories) ! It's in settings. And now another problem I have is I need to know what a plan is. 😂 I'm not even done with my first plan but I think I accidentally finished my first plan or so, so my (woefully) unfinished tasks are left unfinished forever. I'll just re-do them for now. Time to find if there is a re-tutorial or some way to find what things are. Been enjoying the app so far to anyone curious.","115 people found this review helpful","Fourdesire","September 8, 2021","Thank you for using To-Do Adventure. I will submit your feedback to the Island Development Team. Appreciate your patience and comment, we'd love it if you give us a 5-star rating! Feel free to contact us via Settings, tap on FAQ and click on Contact Us at the top-right corner, the player support team will hop in to assist. Thank you for sharing!","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu-Y-ek_6ni3tsbpe4BwZA1oSv6RUi6ICUeYI_D2dg=s32-rw","mel εწз","February 18, 2022","I like it! It makes me more motivated to do my my tasks. I just think that maybe you guys should also make a widget that shows you your tasks, and also maybe a calendar page, where we can see all the tasks within all days.","2 people found this review helpful","Fourdesire","September 23, 2022","Hi Adventurer, thanks for sharing! We are planning to add some user feedback to our App! If you are willing to do this, please fill in the form below: https://forms.gle/beY2ac9RMUrhk983A A bonus reward of “100 GoCoins” will be sent to you if your reply has been chosen! Let's encourage more people to join To-Do Adventure and improve daily habits!",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9qlptkk8Woj2RLV8-0-aQHQnIIcmuU4G419Q6R=s32-rw","Sophia Hampton","March 2, 2021","I like this app! :) It is a fun way to stay organized. One thing that would be nice though is to be able to set a task to every other week or the last Tuesday of the month. Also, I can't figure out how to delay a task.","260 people found this review helpful","Fourdesire","September 23, 2022","Hi Adventurer, thanks for sharing! We are planning to add some user feedback to our App! If you are willing to do this, please fill in the form below: https://forms.gle/beY2ac9RMUrhk983A A bonus reward of “100 GoCoins” will be sent to you if your reply has been chosen! Let's encourage more people to join To-Do Adventure and improve daily habits!",""
"https://play-lh.googleusercontent.com/a-/ACNPEu80jBWt9jZM0Gze027LUr9ts-BPJYlF0-4lT4czGHQ=s32-rw","Soren Blank","December 16, 2021","This app contains so much ads unlike plant nanny. It's so annoying like the ad appears in the to do list. What could be worse than that? Please lower down the ads number and specially from the list.","3 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu1smZrDymXVEfYxn6CG3pKnYXzS7-WeJgeZkP_N=s32-rw-mo","Elaine Whitman","January 27, 2022","Got it and it seemed like a fun way to keep track of my ""to do"" list but after that first time it kept not opening. If i ever find out it gets fixed will probably try it again.","1 person found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_VzpkRt_0W1-ZmvhKYCYBbIfyXB9C5XBAFQbF8=s32-rw","Ahmad Rizki Firdaus","February 24, 2021","I love this app, but. I think it's better if you can adjust the difficulty of the task and get a better reward if the task is more difficult, and I want more themes!","450 people found this review helpful","Fourdesire","September 23, 2022","Hi Adventurer, thanks for sharing! We are planning to add some user feedback to our App! If you are willing to do this, please fill in the form below: https://forms.gle/beY2ac9RMUrhk983A A bonus reward of “100 GoCoins” will be sent to you if your reply has been chosen! Let's encourage more people to join To-Do Adventure and improve daily habits!",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_fpbLTyeVVE2xR_AHW6Csoy5hdq5aDyiPxRyI-jQ=s32-rw","Megan Lim","March 8, 2021","Overall a very cute way to get efficient, makes me have an end goal to my to-do list. However, does anyone know how to cancel a task that you accidentally pressed ""done"" to? Much thanks to anyone who could help 😊","435 people found this review helpful","Fourdesire","September 23, 2022","Hi Adventurer, thanks for sharing! We are planning to add some user feedback to our App! If you are willing to do this, please fill in the form below: https://forms.gle/beY2ac9RMUrhk983A A bonus reward of “100 GoCoins” will be sent to you if your reply has been chosen! Let's encourage more people to join To-Do Adventure and improve daily habits!",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_AA7b1vCt9s589oAkoQ8uO49MAguMytFcJcLPjyw=s32-rw","Green E. D.","September 30, 2021","Its fun but laggy, the tasks left after the time dont carry over after pressing ""+"", and the recurring tasks show up sometimes, not all the time though","5 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_-csoY4DXJ9VbDFurf_C-KSxEeDucTVPQOIKXlSA=s32-rw","Elena Quaranta","July 14, 2021","I can't even complete the tutorial, it tells me to touch a flag and there is no flag on the screen. It used to work, sadly there have not been any update in a while.","2 people found this review helpful","Fourdesire","September 8, 2021","Thank you for using To-Do Adventure, I'm your Island Assistant today. I understand the app isn't working properly and we apologize for that. The Island Development Team is working hard to get bugs fixed, please hang in there with us. Appreciate your patience and comment, thank you for sharing :)",""
"https://play-lh.googleusercontent.com/a/ALm5wu1wxlQwihJ3eXFmmqaQd1kuUt0tu4KBpXguuMdN=s32-rw-mo","Miss sh","March 9, 2021","I really like the app and the idea. I wish u add in the ""repeat section"" hours options as the daily, weekly,etc. it will be very helpful. Also could u plz add arabic language? Pardon my poor English.","133 people found this review helpful","Fourdesire","September 8, 2021","Thank you for using To-Do Adventure. I will submit your feedback to the Island Development Team. Appreciate your patience and comment, we'd love it if you give us a 5-star rating! Feel free to contact us via Settings, tap on FAQ and click on Contact Us at the top-right corner, the player support team will hop in to assist. Thank you for sharing!",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_P8vTBAb_VNs7If_2aELTwZ6JBRDjZRABT5mTZYw=s32-rw","Chee Le Tian","October 13, 2021","Best to do app. I have been searching to do app for some times, this is the best I found. Suggest change the app's cover photo for more download.","2 people found this review helpful","Fourdesire","September 20, 2022","Hi Adventurer, thanks for sharing! We are planning to add some user feedback to our App! If you are willing to do this, please fill in the form below: https://forms.gle/beY2ac9RMUrhk983A A bonus reward of “100 GoCoins” will be sent to you if your reply has been chosen! Let's encourage more people to join To-Do Adventure and improve daily habits!",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8hp7MqsCf3Rz3ggEqsW8LFMCGeye6MbM3fWhwE=s32-rw","Tsuki","June 22, 2022","I love the concept! Feels like i'm playing a video games and at the same time being productive toward my task","","Fourdesire","September 20, 2022","Hi Adventurer, thanks for sharing! We are planning to add some user feedback to our App! If you are willing to do this, please fill in the form below: https://forms.gle/beY2ac9RMUrhk983A A bonus reward of “100 GoCoins” will be sent to you if your reply has been chosen! Let's encourage more people to join To-Do Adventure and improve daily habits!",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8s0S9PG1gLNEdSZa19Cky8VYatKRIFx6ToqJSq=s32-rw","Saiprathima","July 16, 2021","This game is very useful for students alot , ofcourse I'm also a student. If you improve study timer also in the app it will be awesome 🤠😊","1 person found this review helpful","Fourdesire","September 20, 2022","Hi Adventurer, thanks for sharing! We are planning to add some user feedback to our App! If you are willing to do this, please fill in the form below: https://forms.gle/beY2ac9RMUrhk983A A bonus reward of “100 GoCoins” will be sent to you if your reply has been chosen! Let's encourage more people to join To-Do Adventure and improve daily habits!","Show review history"
