"
  Tasks: to do list & tasks","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/a/ALm5wu3WnRVs5PVZF4FXTrqL_MWy8I_6Hppin4FurD5Q=s32-rw-mo","Kristi Anderson","","October 7, 2022","Really easy to use, very nice to have the 'list of lists' in the menu, and sub lists under the lists. Works with the way I think. I can swipe to move the screen to the next sub list, but it's a little too easy to accidentally swipe and delete a task instead...maybe I'll figure out a better technique to do this, since I just started swiping between lists.","35 people found this review helpful","Pocket Brilliance Limited","October 7, 2022","Hi Kristi, if swipe to delete is not helpful simply disable it in Tasks settings. Tasks is a community driven hobby project of mine. It contains no ads and is designed to be very customisable. If you need help, just email me. I hope you can show your full support for my little app. Stars are free after all. Cheers, Steve"
"https://play-lh.googleusercontent.com/a-/ACNPEu-e7FuIZT3ZNfPnaEQwgr1pzTrXNpiq2YrqcMetfDA=s32-rw","Sarah Oppelt","","September 13, 2022","I have used pretty much every to-do list app for Android, and this is easily the best-looking one. The random extra features (highlighting tasks, sublists, filters, etc) are awesome! The only thing keeping me from switching to this app is that I need the ability to add due dates to subtasks. I still check back frequently to see if that's an option or if I can learn to live without it though, because everything else about this is perfect!","53 people found this review helpful","Pocket Brilliance Limited","September 19, 2022","Hi Sarah, thank you so much for your support for my little app. Tasks is a community driven hobby project of mine with the most popular suggestions added over time. I will add your suggestion to my list for future improvements. Maybe you can simply move one level up the hierarchy. I hope this helps, Steve"
"https://play-lh.googleusercontent.com/a-/ACNPEu-K7IoOpoErIyDnT1T9jdaoQ0lsOPv6vtbJ6jw1Lxk=s32-rw","Betsy Davenport","","October 14, 2022","Best task list app I've tried. Flexible and slightly fun, but not fun enough that the list making keeps me from doing something. Color coding is great. I know I haven't explored all the variations yet, so for every time I wish it did something, I look, and it does do that thing. I like it well enough I paid for the premium version and it's better still. Only one thing: it seems like you can't backdate a task/completion, which would help with record keeping. If I'm wrong on that, help?","12 people found this review helpful","Pocket Brilliance Limited","October 15, 2022","Hi Betsy, thank you so much for your fantastic support for my little app. To change the completion date simply tap on it from a tasks detail screen. For more help with Tasks features check out the Help button in the main menu or just email me. Cheers, Steve"
"https://play-lh.googleusercontent.com/a/ALm5wu3q44-vn9xG1JBJyGWiSJGV9QiS70SKdd10Hhih=s32-rw-mo","Jeremy McJimson","Show review history","September 26, 2022","This app is really great. The only thing that would make it better is if there was a desktop version. This app has helped me not only keep track of my to-do's in a super easy and quick way, but to get the time-sensitive tasks done on-time with reminders. The best thing about the reminders is that they are fully custom - so you can set reminders for odd times and repeat patterns. An absolutely great app.","42 people found this review helpful","Pocket Brilliance Limited","September 26, 2022","Hi Jeremy, thank you for your wonderful support for my app. Your wish is my command. There is already a desktop version. If you're a Premium user simply go to the Tasks website and login. Check out the new YouTube video for details: https://mytasksapp.com/help/premium#web-app Any questions, just email me. Cheers, Steve"
"https://play-lh.googleusercontent.com/a-/ACNPEu-5GUC3BXqsFPMh1bEEPPXmGEJ2IaW7gykiubk_=s32-rw","Irena Bachová","","October 13, 2022","As someone else said, my whole life is there, kind of. I consider it my external brain. It's simple & genius at the same time. Muuuch better than making a to-do list by hand writing as in the app, you can very easily add, edit, delete, change the respective position of tasks in the list, etc. You can create multiple task lists, subtasks, notes, you can customize it all with colors, highlights, etc. Thank you for it, developers! :)","2 people found this review helpful","Pocket Brilliance Limited","October 20, 2022","You're welcome Irena. Thank you so much for taking the time to help support my little app. I really appreciate it. Cheers, Steve"
"https://play-lh.googleusercontent.com/a-/ACNPEu-VQg3dyYeqMc2UlZHw68hAW_bSf-SAuPrlZWa2pQ=s32-rw","kitty meowmeow","","September 30, 2022","I haven't been using this app for very long, but so far I love it. You can organize your thoughts, tasks, things you need to buy, etc. A great one stop for brain dumps. The simple design doesn't distract and the colour customization makes a simple thing like a to do list app fun and appealing. I'd say confidently it's the best app like this I've tried to this point, and I'm not looking for a replacement.","8 people found this review helpful","Pocket Brilliance Limited","October 3, 2022","Hi Kitty, thank you so much for taking the time to send me your wonderful feedback and support for my little app. It's so nice to hear how the features are helping you. It makes all the effort worthwhile. Cheers, Steve"
"https://play-lh.googleusercontent.com/a/ALm5wu2pi1poTXwO417xOnj8_YWDBdi5Z2Dj0EyvTUNxiQ=s32-rw-mo","Andrew Chung","","September 2, 2022","Really good app, though I think it might be nice to have further list nesting for those who like that sort of control or for very complicated tasks with lots of pieces. Also, a way to cross-reference lists would be neat. For example, a list of chores might include to buy groceries. That item would then link to a separate list that contained the actual items to but.","27 people found this review helpful","Pocket Brilliance Limited","September 3, 2022","Hi Andrew, some great feedback & support. If you need more than 4 levels of hierarchy (lists, sub lists, tasks, & sub tasks) your items are probably too big and need to be split higher up. Cross referencing already exists. You can use tags and filtered lists. Check out the new YouTube videos for details: https://youtu.be/BHZxDzY6i3o Cheers, Steve"
"https://play-lh.googleusercontent.com/a-/ACNPEu_-iGFLLaTxMgrsz_Regp_T4THS9b3KI9CX6MMh=s32-rw","Jonnemylls Personal & Homecare","","September 12, 2022","So far i love this app. It's got separate lists for everything. And with corresponding tasks below. And every main lists has sublists that you can organize. I also love that you can put schedule and alarms on the calendar with choice of reminders. You can also insert images so you know instantly what the list is about. And most of all IT'S FREE. I'm sure the premium one is much much better. Love love love it! Good job! 👍🌟💯👏♥️","6 people found this review helpful","Pocket Brilliance Limited","September 19, 2022","Amazing feedback and support for my little app. Thank you so much. Tasks is a community driven hobby project of mine. It contains no ads and simply relies on donations, premium subs and my spare time. Please consider supporting my work with a donation. Cheers, Steve"
"https://play-lh.googleusercontent.com/a-/ACNPEu8dodIvkpp0hWPx7ohcseZwMrspbMAJ0OynfFJOiA=s32-rw","Amorcielou Espellarga","","September 10, 2022","Great task organizer with a notification or alarm that you can adjust what time and day you want it to remind you that hell will break lose if you don't do a certain task on time. You can also list down your ideas like for stories or just really some random things. I don't think I need to purchase premium because I am very much content with the free version but if I had money, I would so that I can support the devs. Thank you for making such great task and to do list app!","4 people found this review helpful","Pocket Brilliance Limited","September 19, 2022","You're welcome. Great to hear my little app is helping you. Tasks is a community driven hobby project of mine with the most popular suggestions added over time. It simply relies on donations, premium subs and my spare time. I really appreciate your support. Cheers, Steve"
"https://play-lh.googleusercontent.com/a/ALm5wu0O1rJJjsGW2CQilOJo4BCDITQuqHR_gvj9AZEC=s32-rw-mo","Cal Smiley","","October 16, 2022","I love that you can turn on a setting to hide completed tasks. It makes getting things done that much more satisfying! Mark as done and *woosh* they disappear! There is also just enough customizability without being overdeveloped. Really quite a tidy little app. I switched phones and tried out the preloaded notes app, couldn't stand it for more than a day before I had to track down Tasks!","6 people found this review helpful","Pocket Brilliance Limited","October 19, 2022","Hi Cal, thank you so much for your wonderful feedback and support for my little app. I really appreciate it. If you like hide completed, you may also like nominated lists: https://mytasksapp.com/help/tips-tricks I hope this helps. Cheers, Steve"
"https://play-lh.googleusercontent.com/a/ALm5wu2FQhvRTqcuJYvywdxZoIA37c1TlvS25Ztie_c=s32-rw-mo","Clive Walden","Show review history","September 25, 2022","A great tasks App. It stores lists on the phone, so you don't need to use mobile data to access your lists in the store. For someone like me with a cheap, no data included plan, it's perfect. The auto repeating option is perfect for medicine reminders, especially as they don't rely on a cloud connection to run.","17 people found this review helpful","Pocket Brilliance Limited","September 26, 2022","HI Clive, thank you so much for taking the time to send me your support. I really appreciate it. Tasks is a community driven hobby project of mine. Please consider recommending my app to your friends or with a donation (main menu). I really appreciate it. Cheers, Steve"
"https://play-lh.googleusercontent.com/a/ALm5wu0GBnoMZMDGH6FLHevgIHBHsDdLUFF8tg04WT1a=s32-rw-mo","Kitty Nuthall","Show review history","September 5, 2022","This is the best app I've ever used to make lists. The level of customisation and lists within lists, as well as reminders and being able to label things and arrange them by priority makes and now with the new function where you can attach an image it's improving all the time and I love it, the one slight problem I do have however is with the amount of images that you can attach being only one if that were to increase, that would be fabulous","9 people found this review helpful","Pocket Brilliance Limited","September 8, 2022","Hi Kitty, thank you so much for your wonderful review and support for my app. I really aprpeciate it. Tasks is a community driven hobby project of mine with the most popular suggestions added over time. It contains no ads and simply relies on donations, premium subs & my spare time. I will add your suggestion to my list. I hope this helps. Steve"
"https://play-lh.googleusercontent.com/a-/ACNPEu9IYPLMGvzXzH6wj87naYQTt4pIzG8DDjlQzeSc2Q=s32-rw","Jonathan H.","","September 27, 2022","This is by far the most well developed task management app I've ever used. I absolutely love the reminders/alert features because it actually helps me get things done. Growing up with ADHD makes it extremely difficult for me to stay organized and structure my priorities. Having said that, this app helps me stay productive and I can actually see the results! I just purchased the premium plan and I believe it's worth every penny. Kudos to the developer! Please keep up the great work!","21 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_XZlhH6e8E-mawWI7PkpTG98g9BVPw-53Fzdr_r-8=s32-rw","Kit M.","","September 19, 2022","I love this app so much. I've tried them all and Tasks is like my second brain. It's beautiful to me that the developer offers it for free with no ads because after so many failed task apps, it really lessened the barrier to trying yet another new one. Take some time to adjust the settings and find your groove with nesting and organizing tasks and you will never need another task app. Seriously, I love Tasks so much. Thank you for finally creating something I can stick with to organize my life.","16 people found this review helpful","Pocket Brilliance Limited","September 19, 2022","You're welcome Kit. Thank you so much for taking the time to send me your wonderful feedback and support. Please recommend it to your friends and consider a donation to help support my work. If you have any questions don’t hesitate to send me an email (tasks.list.app@gmail.com). Cheers, Steve"
"https://play-lh.googleusercontent.com/a-/ACNPEu8-MaP4hUhRXw5tuuyeOI_Ss7s19aRewaLHRtC7eg=s32-rw","Sara Reid","","October 12, 2022","Using Tasks to help me keep on track as I work multiple part-time jobs. It has been fantastic! Easy to use and understand. I love the colour coding of different lists, and that I can record lots of info about each list. The sub-lists are great; I can break down each task into smaller components and it is very satisfying to mark them off! Thank you for helping an extremely disorganised person keep things running!","1 person found this review helpful","Pocket Brilliance Limited","October 20, 2022","You're welcome Sara. Thank you for taking the time to send me your support for my little app. Tasks is my side hustle so I wish you all the very best with yours. Cheers, Steve"
"https://play-lh.googleusercontent.com/a-/ACNPEu_X-l-K7pVooBE4U21kySDOrAR2jrVqD54K3VLj3w=s32-rw","Scarlette Foxx","Show review history","September 5, 2022","Amazing! Try this app. No ads, good widgets, extremely easy to keep on task with these lists and sublists. I'd say that its not very intuitive sometimes(list settings is split into 3 places, setting recurring items, its way too easy to accidentally swipe delete an item) but its literally been a lifesaver. I can't recommend this enough, especially to my ADHD folks. It's easy to organize by tags, colors, and send finished tasks elsewhere, or even one of the best features; sublists! Wonderful :)","30 people found this review helpful","Pocket Brilliance Limited","June 14, 2022","Hi Scarlette, thank you for your amazing support. List options are in the main menu. Sub list settings are in the sub list menu (3 dots top right). Tasks is designed to be highly customisable so if swipe to delete is not helping simply disable it from Tasks settings. Any more questions, just email me. I hope this helps, Steve"
"https://play-lh.googleusercontent.com/a-/ACNPEu-JpTzzkfiu4jJEa7zXKiph4KKRy113JaBMJkC9Tw=s32-rw","Ola Overflow","","September 22, 2022","Absolutely love this app. It's so intuitive and I love the fact I can create sub lists! It would be good though if I could drag and drop items from the main list to a sub list as well. Have a question though: if I want to upgrade to the premium version to share lists, do the other people also have to have the premium version too? Or can they receive what I've shared on the free version?","3 people found this review helpful","Pocket Brilliance Limited","September 23, 2022","Hi Ola, thanks for your support for my little app. Tasks is a community driven hobby project of mine with the most popular suggestions added over time. I will add your suggestion to my list. In the meantime, you can move tasks between sub lists. Yes, all users require Premium as data goes via Tasks servers. These are expensive so I need help.."
"https://play-lh.googleusercontent.com/a/ALm5wu05_wCzcE8D8zwqS8VRUotyQkcirQTfowZAEEEV=s32-rw-mo","Callum Dixon","Show review history","October 4, 2022","I have ADHD and this app has genuinely changed my life. I lead a hectic and busy life and being able to manage everything and use this app to compartmentalise for me is an absolute game changer. I love that you can add pictures to the tasks aswell as sometimes for me, just reading it isn't enough but being able to visibly see what I'm referring to is a massive help. I use this app all the time and I can't rate it high enough. Now I can focus my brain energy on the things I enjoy. Thanks!","11 people found this review helpful","Pocket Brilliance Limited","October 4, 2022","Wow! Amazing feedback. Thank you so much Callum for taking the time to send me your wonderful support for my little app. I really appreciate it. Cheers, Steve"
"https://play-lh.googleusercontent.com/a-/ACNPEu-j3-5gDXkFiPIk_-qyz6nRKrX1z_Pd44gngZnB=s32-rw","J Simmons","","November 5, 2022","I'm using it for work. The app itself is fantastic and the customer support is immediate and directly from the developer. There are no ads in either the free version or the paid! How refreshing. I liked it enough to buy the lifetime which is VERY affordable and hopefully helps the developer.","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9cUVtpusenoQJQKu0Z76ZuW3WFE9Thbrx-Ba8fBw=s32-rw","C (c_lib)","","September 15, 2022","Previously I used a note app for reminders. This is so much better. It keeps me focused on what I need to do. I like that notes can be added to each task and that they are visible on the task list and you don't have to open the that particular task to view them. I like the ease of adding new tasks and that they can be named. Bright color choices are nice for each task. I only have one wish and that is that we could swipe sideways to see the other task lists so I could see other days quickly.","2 people found this review helpful","Pocket Brilliance Limited","September 19, 2022","Hi, this is already possible. If you swipe on the blank list area rather than a task. To swipe on tasks simply disable the swipe to delete setting. If you need more help, just email me. I hope this makes my advert free, hobby project a 5 star app for you. Stars are free after all and it really helps. Cheers, Steve"
"https://play-lh.googleusercontent.com/a/ALm5wu3SLSjQpL_FIrWre6ZnEdvjP46DcmKYOC0jXDeV=s32-rw-mo","Becky G","","September 5, 2022","As someone with ADHD, this app REALLY helps me keep on top of things! Being able to drag to rearrange tasks, set priorities, add to calendar & give tasks custom tags (I tag them by amount of energy needed for the task) as well as subtasks, just makes scheduling & planning so much easier, visual & more efficient! There's a lot of functionality (including clickable links & recurring tasks) that saves SO much time & energy compared to other similar apps. I set it as a widget on my home screen too!","4 people found this review helpful","Pocket Brilliance Limited","September 8, 2022","Wow Becky, thank you so much for your amazing support for my little app. It's great to hear how it is helping you. Happy organising 😁 Steve"
"https://play-lh.googleusercontent.com/a/ALm5wu0KnBHBe1Xo4hKU1l_y_LkPTG5n_EcpN1RYgSBa=s32-rw-mo","Katrina Dyer-Davies","Show review history","September 16, 2022","Update- The developers of this app listened to my feedback and added the ability to add images! Thanks so much! Original review- I love this app! It's amazing for keeping lists and keeping organised. The only negative thing I have to say is I wish there was an option to add images into the list items. Otherwise it is perfect!","2 people found this review helpful","Pocket Brilliance Limited","September 19, 2022","Hi Katrina, you're welcome. Tasks may be a hobby project of mine but I do what I can to give users what they want. Thank you so much for your support. Cheers, Steve"
"https://play-lh.googleusercontent.com/a-/ACNPEu_fcowl2W5Mi-MYMkD9-3zHaKKwRSoJVLS-t3v8Kw=s32-rw","Braydn Reynolds","Show review history","October 17, 2022","I'm a convert! I used TickTick for years, which is still a great app, but the ability to have notifications be set as an alarm is super helpful to me. One thing I'd like to see is for when the notification is set as type alarm is to be able to go directly to the notification or mark as done from the alarm screen. Another thing that I would like to see is the ability to change the due date directly from the snooze screen. Other than that I love this app so far!","","Pocket Brilliance Limited","October 19, 2022","Hi Braydn, great feedback and support for my little app. Thank you. Tasks is a community driven hobby project of mine with the most popular suggestions added over time . It simply relies on donations, premium subs and my spare time. i will add your suggestions to my list for future improvements. I hope this helps. Cheers, Steve"
"https://play-lh.googleusercontent.com/a-/ACNPEu9nKzbvgktu_TXYKoehnd0LTODgRjFaunlvB3xY=s32-rw","Jillian Fletcher","","October 14, 2022","This app is incredibly intuitive, and I love all the features. Each list can be broken into sublists, and the tasks themselves can be as simple or as detailed as I would like. Very satisfying to cross things off, and this app has been so helpful for getting my life just a bit more organized. Thank you!","","Pocket Brilliance Limited","October 20, 2022","You're welcome Jillian.It's so nice to hear how my little app is helping you. It makes all the time and effort writing, supporting and improving it worthwhile. Cheers, Steve"
"https://play-lh.googleusercontent.com/a-/ACNPEu82t1CI6hshvdilbi6bK29m30a9ba5OKBsEZA8S0Q=s32-rw","Peekamoo","","October 5, 2022","My very favorite task/cleaning app. In addition to all the other great features, you can choose a ""quick add"" widget in the push notification area--it stays there and it only takes a second to add your note (and it doesn't open the app either!). Life is hectic, I love anything that simplifies it.","2 people found this review helpful","Pocket Brilliance Limited","October 18, 2022","Wow! Amazing feedback Peekamoo for my little hobby project. I really aprpeciate your support and that you love the features. Happy organising :) Steve"
"https://play-lh.googleusercontent.com/a/ALm5wu3zZIGzciay5lN7H1AkiHETgZkX8sQVw9R2ezNZ=s32-rw-mo","Kaje Jennings","","September 3, 2022","Love this app! I have used it for so many things from lists to to-do items to project organization! Super simple, super clean, super easy to use, super flexible! I recommend throwing the developer some change if you can, since even the free version doesn't bombard you with ads!","2 people found this review helpful","Pocket Brilliance Limited","September 5, 2022","Wow! Thank you Kaje for your wonderful feedback and support for my little app. Tasks is a community driven hobby project of mine. It simply relies on donations, premium subs and my spare time. Never ads. I really appreciate your generosity. Cheers, Steve"
"https://play-lh.googleusercontent.com/a/ALm5wu1W36uts2c6PZcdovs_5KQerZCqQRocDkj24i9c=s32-rw-mo","F. D.","Show review history","September 15, 2022","What's missing is a function to group lists into a bigger topic. Sublists are not always sufficient because I need all functions like color and sublists in these too. Best would be an option to integrate list into each other without disloving the structure like the ranking and still let them have their dedicated topic name. Other than that, the most customisable app I found out of 10 I tried. The only one suiting my own life and organizing style and not trying to push a habit system on me.","2 people found this review helpful","Pocket Brilliance Limited","September 19, 2022","Hi, I'm not really sure I understand? My app already has lists, sub lists, tasks & sub tasks. It sounds like you just mean lists. Please email with me more details. In the meantime, I hope there are 5 features of my advert free, hobby project you do like and you can show your full support. Stars are free after all and it really helps. Cheers, Steve"
"https://play-lh.googleusercontent.com/a/ALm5wu3QuwfO7Kv98IOeJKV_eA3vvh7Dk13f3XODfwit=s32-rw-mo","Stevi P","","September 9, 2022","So easy to use! And so helpful. I can quickly make a new list and add a task. It has an option to add pics, notes, subtasks... Literatly everything I need. I also love how I'm able to personalize each list by naming it and choosing a color scheme. Fantastic app! Thanks so much!","","Pocket Brilliance Limited","September 19, 2022","You're welcome Stevi. Thank you for your wonderful support towards my little app. It is very much appreciated. Cheers, Steve"
