"
  Tusk: task and habit manager","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/a/ALm5wu0s0kQx_j5_3OtpgBdZEhnJskT-RQ4Gz-od517W=s32-rw-mo","Shahar Frechtman","","August 27, 2022","I was looking for an app like this for a long time. It is colorful, easy to use, has enough options for everything and not expensive at all. Only thing I would like to be different is the dots above each day to mark tasks, I would like them to show the color of the task.","","ULSoft","August 27, 2022","We highly appreciate your feedback, Shahar Frechtman! We've added your idea to our list of suggestions and will consider it later. Enjoy using Tusk 🤗"
"https://play-lh.googleusercontent.com/a-/ACNPEu9zQIcqyKZksf4w0UCDlnW3qFtIbBriB9zt-1YQeKY=s32-rw","Veronica R. (Stormborn)","Show review history","August 8, 2022","Cute UI and good functionality but way too expensive with heavily limited features on the free version. I wish I could afford a $40 app (lifetime) but I can't even properly test it for free. The limit on repeated tasks is only 5x, so I could only see if it works for me over 5 consecutive days before having to redo my settings and I don't like that. Developers: I know you need to make $ to survive, and I'll keep an eye out for sales, but it's a higher price than I've paid for any others like it.","6 people found this review helpful","ULSoft","August 8, 2022","Thank you for feedback, Veronica! Our application provides huge functionality for free, much more than in similar applications. Nevertheless we have to make some functions payable to be able to develop Tusk, provide support and make it better. We hope for your understanding! We've got a special offer for you, please contact us at support@tusk.best"
"https://play-lh.googleusercontent.com/a-/ACNPEu9C8KVxNW3-R1pBCxfWc6H3YX75qWqxPV9lfeT5ykA=s32-rw","David Edgeworth","","June 17, 2022","I've tried and paid for so many task managers in the past, including the most well known, and they work for me for a while, but I always end up getting bogged down with incomplete tasks and I don't know what to do with them. Tusk sorts out the problem for me, with its calendar based interface, and is the best so far. The holiday function is genius!","9 people found this review helpful","ULSoft","June 17, 2022","Thank you! We're so excited to get such a feedback, David! 🤗 There will be more useful features in the future, stay tuned!"
"https://play-lh.googleusercontent.com/a-/ACNPEu_MmM5iiu8BNGskYYUTLN_jg6kr5nIIAuzrZ6QGIQ=s32-rw","Vahid Azarafza","","September 23, 2022","I have used a number of similar apps but this one is by far the best. The features it offers are versatile and the design is very easy to follow and appreciate. The developers are great human beings.","","ULSoft","September 24, 2022","Thank you for your feedback, Vahid Azarafza! 🤗🤗🤗 We highly appreciate it! Enjoy using Tusk"
"https://play-lh.googleusercontent.com/a/ALm5wu2MJkfWdd_xaKvj0Ow44GRTRPPAbquH-Ei0R1E=s32-rw-mo","Rivkah","Show review history","August 16, 2022","Love this app. The elephant logo is cute, yet professional loòking. The app is attractive, simple and intuitive, but also full of optional features. Its rare to find that in an app. Unfortunately its difficult to contact support with queations or suggestions because their email bounces back.","4 people found this review helpful","ULSoft","August 17, 2022","Thank you for your feedback! We highly appreciate it 🤗 We are always available at support@tusk.best if you can't reach us please let us know by writing your feedback here, we'll provide another e-mail to contact us or leave us your email."
"https://play-lh.googleusercontent.com/a/ALm5wu3htDu0MiJXAYolcnDx9Ccs6YC0w7Ee878ajn26=s32-rw-mo","M Larsen","","July 6, 2022","EXACTLY what I needed to establish a morning routine: the ""Today"" view is an uncluttered and fun look, showing me only what I need with no other bits of info that can distract me. I love the swipe left or right to complete or postpone the task (customizable). It really lets me get my small daily tasks done before jumping into the day's work. I haven't synched with a calendar yet because I need to compartmentalize between ""just woke up"" and ""ready for the day."" My earlier AMs are faster! Helpful!","3 people found this review helpful","ULSoft","July 8, 2022","Thank you for your feedback, M Larsen! We highly appreciate our users' reviews! Stay with us for more features ahead! 🤗 🤗"
"https://play-lh.googleusercontent.com/a/ALm5wu1qJwOXecUvL7lkgR13TlqPsPY_M5h4KIOw17mY=s32-rw-mo","Krishnendhu Kj","Show review history","November 1, 2022","A great one🤗❤ But i have one recommendation, if it's possible to make the widget feature free..it would be great.","","ULSoft","November 2, 2022","Thank you so much! 🤗❤️Our application provides huge functionality for free, much more than in similar applications. Nevertheless we have to make some functions payable to be able to develop Tusk, provide support and make it better. We hope for your understanding."
"https://play-lh.googleusercontent.com/a-/ACNPEu9umkFcbN0JxU_8tnR2He8_0xMarVok7Q0ZtYsOFw=s32-rw","chanakaZ k","Show review history","September 5, 2022","One of the most useless app I ever came across.. Reminders doesn't even work!! What's the point??!! And I do know about permission, battery optimization and other things!","","ULSoft","September 6, 2022","Thank you for your feedback. We are sorry that you are facing this issue. Notifications depend on your device's settings. It is highly important to enable Auto-start. For more detailed help, please contact us at support@tusk.best"
"https://play-lh.googleusercontent.com/a-/ACNPEu_ibsz-Vb4zBG24-cz8yUvl7KXjrXjA6hVqk9kylQ=s32-rw","Jannatul Ferdous","Show review history","August 21, 2022","I have a huge problem in SORT TASK. I sorted my task many times, but the app unorganized it many times. And I can't even sort the ALL TASK (important). Please move the Time option from premium. And if possible make more icons for task, there are not even common tasks icons. Otherwise don't change the app. I love it.","","ULSoft","August 20, 2022","Thank you for your feedback! In order to provide you with a proper help, please contact us at support@tusk.best
What sort settings do you use? Filtering is available on Tasks' page and it is not designed to save changes."
"https://play-lh.googleusercontent.com/a-/ACNPEu86CogMRD8HJJSazJavBU7ig2G7DHkNBASzBu0fZQ=s32-rw","Trystan Donovan Quayle","","July 15, 2022","It's perfectly serviceable, if a little bit plain. The achievements seem to be broken though, I've definitely completed some of them, though the achievement isn't triggering. Not a huge deal, but the reason for the loss of a star.","","ULSoft","July 15, 2022","Thank you for your feedback! 🤗 🤗 Could you please indicate those buggy achievements? We'll check them and do our best to fix it. Please email us at support@tusk.best"
"https://play-lh.googleusercontent.com/a-/ACNPEu87AdVtkY6vr1ponvEbl2IyACyj0hz2_k8skfwglCE=s32-rw","Deon Utber","Show review history","August 23, 2022","Updated - Just started using Tusk, like the flexibility for tracking task and habits and nice interface. I wanted a counter option for tasks and the developer got straight back to me and pointed out the quanity option under 'task finish'...perfect 👍","","ULSoft","August 23, 2022","Thank you for your feedback, Deon! 🤗 At the moment you can go to task editing page, enabling Task Finish and then set Quantity, this way the task will be finished after the specified of repetitions is completed. We also added your idea to our list of suggestions."
"https://play-lh.googleusercontent.com/a-/ACNPEu-RaisU44cEiEof5I5Qe9fH7CZWcJOZZUVbhHEk=s32-rw","Le Rauxe","Show review history","September 27, 2022","Would be a good app, but completing task from notification panel doesn't do anything and they stay ""pending"", which is a deal breaker for me Update: issue got fixed, changing my review","","ULSoft","September 27, 2022","Thank you for your feedback!🤗 We're glad we could solve the issue. Enjoy using Tusk! We kindly ask you to report any issues you face to support@tusk.best"
"https://play-lh.googleusercontent.com/a/ALm5wu235gfgGHYaXp7Qj6YGGSJvdxrJhZMhrt9tZfwD=s32-rw-mo","Adharsh P R","","October 6, 2022","The UI of the app is fantastic.No unwanted boring procedures while using it. I found the statistics representation ( graph) very interesting, very easy to track the data 😍💓.","","ULSoft","October 6, 2022","We highly appreciate your feedback! We are currently working on a new and improved version of Tusk. It will have new functionality, it will become faster, and there will also be a web version. The release of the new version will take place this year. Please stay tuned! 🤗🤗🤗"
"https://play-lh.googleusercontent.com/a-/ACNPEu-5vwITacFjxiQ00AWqTZ0maRPIPoDANw2ZMZJGGQ=s32-rw","GJ Galenzoga","Show review history","June 3, 2022","I LOVE THIS APP SO MUCH! I bought the premium and it was super worth it. This app is the reason why I became more productive. However, I wonder if it's possible to integrate Eisenhower matrix? Sometimes I had too much tasks and I want to sort them by urgency and importance.","","ULSoft","June 3, 2022","Thank you for your precious feedback! 🤗 We've added your idea to our list of suggestions and will consider how we can implement Eisenhower matrix in our app."
"https://play-lh.googleusercontent.com/a/ALm5wu19QQ24FKNLWzWIPOZVxvW8ulCko3reJFzsslge=s32-rw-mo","shikamaru digidiz","Show review history","October 10, 2022","The only reason to have a task app is to place a widget on the home screen and that, in this app, is a premium only feature, making the app useless as a free app.","2 people found this review helpful","ULSoft","October 10, 2022","Hello, dear user! Our application provides huge functionality for free, much more than in similar applications. Nevertheless we have to make some functions payable to be able to develop Tusk, provide support and make it better. We hope for your understanding."
"https://play-lh.googleusercontent.com/a-/ACNPEu_uqP0HnJ7N4grtVoS1YzSJdFv9WVDdwOKK2PidGQ=s32-rw","Adela Manea","","October 30, 2022","Love it. More customization than I saw in any other organisation application.","","ULSoft","November 1, 2022","We highly appreciate your feedback! Thank you, Adela! 🤗"
"https://play-lh.googleusercontent.com/a-/ACNPEu9T9uWp0N4JG1N8zy2kfqNolpjkjBWorLR2PUFgSQ=s32-rw","Miss Valerie","","July 15, 2022","Finally after installing & uninstalling first 15 apps Google store suggested, I found the app I needed. Very cute, yet simple, not overly colorful, free, meets my needs, no ads for now. Hope it stays the same.","1 person found this review helpful","ULSoft","July 15, 2022","We highly appreciate your feedback! There will be more features ahead! Enjoy using Tusk! 🤗"
"https://play-lh.googleusercontent.com/a-/ACNPEu-Zg6ToVM2r9mNtS0XT0rcPuqoU_CbJX3-HCT8-2Jo=s32-rw","Alice S","","April 30, 2021","A great balance of simplicity and customisation! I have tried many habit trackers and to-do list apps and this is my fav so far. Helps me know what to do with myself. The ""several times a month"" part, which includes ""once a month"", is not super intuitive at first but it's no big deal. If you like this app, I also recommend Daylio. It's primarily a journaling app, but also has goal tracking and a similar minimalist aesthetic. Tusk still has the edge when it comes to getting things done though!","37 people found this review helpful","ULSoft","May 1, 2021","Thank you very much Alice! We'll make this schedule more intuitive for sure!"
"https://play-lh.googleusercontent.com/a/ALm5wu3iWu27OMnW9xYqEehgsv2FFC_ZiFJcLKz65_4E=s32-rw-mo","Danil Ukhalov","","January 20, 2022","This app is brilliant. I really like it. It has everything I need except for synchronization. I bought the premium. But the synchronization doesn't work properly. Every time I synchronize my devices, it goes sideways because I get a lot of old deleted tasks on my list. And I cannot edit tasks on one device so it changes on the other one. This function never works smoothly that's really annoying. By the way, the pricing is ultimately reasonable.","1 person found this review helpful","ULSoft","January 20, 2022","Thank you for your feedback, Danil! Make sure you're running the latest version. Log in with the same account on both devices.Then use your mobile, go to Settings - Cloud sync - press Clear sync data, then Reset Last Sync Date and after all tap Synchronize on both devices.
Please reach us at support@tusk.best for more details."
"https://play-lh.googleusercontent.com/a/ALm5wu3kbwONGKVa_rYY2z_0BkdGqc-MliPT_G9nPwN_=s32-rw-mo","Mikaela Loizou","","December 11, 2021","The best one yet! Almost perfect, except one thing: for tasks that have to be completed multiple times per day, when you only complete them one time, they are not skipped but not completed either. When you open the calendar you only them in grey color, the same as when you don't mark them at all. So you don't know if they were partially completed or not completed at all. I think they should be shown in orange, or any other color, so you know they were at least partially completed.","4 people found this review helpful","ULSoft","December 12, 2021","Thank you for your feedback, Mikaela! We highly appreciate it! We'll take it into consideration! If you have any questions or suggestions, contact us at support@tusk.best
Enjoy Tusk! 🥰"
"https://play-lh.googleusercontent.com/a/ALm5wu0jf4-VYyQtIknM7ntxPfFEMxzFp-BqC7iuFLe2=s32-rw-mo","rouhollah alba","","February 7, 2021","Great app and really helpful to tracking routine tasks. Also it helps to grow productivity. I've only two problems with it, first one: weeks are not customizable, there isn't any access to change the beginning of the week. The other one: when I finish part of a task, and the other part is not finished, I have to skip that task, for example if you create a task like reading book for an hour each day, and you read the book for half an hour today, it means that you've done fifty percent of it, but!","7 people found this review helpful","ULSoft","February 8, 2021","Thank you so much for your review! We'll add a possibility to change the beginning of the week in the nearest update. Regarding the second described moment, we would be very grateful if you could describe your own vision of what to do with partially completed tasks. Here or at email: alex.ursul@gmail.com. Thank you for your interest!"
"https://play-lh.googleusercontent.com/a/ALm5wu29Wm419MfxoKvwgj4HYSW68vg8uilqFhG6f-Tj=s32-rw-mo","Dušan Prvački","","April 12, 2021","Very modern and eye-pleasing design, has all of the most useful options - even setting recurring tasks ""every N day"", or even choosing specific dates of the month, which I haven't seen with any other app out there. The only downside which actually makes me consider using other apps is the inability to sync with Google Calendar unless you go Premium. The developer's decision to put this behind a pay wall is understandable, but I just don't have the habit of actually subscribing to use basic sync.","16 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_SajV3pn3qtXoSD8L74p_ALFHYxSHLXkJ1z8kS8Q=s32-rw","Maksymilian Macur","","June 1, 2021","Looks really nice, I changed to this app mostly because of it, because at the end I am looking at these things everyday. But app itself is soso, there are many better. Not that many options, missing some sorting out, missing ways to schedule activities (for example last Saturday of the month), the activities are not moving to the next day when you don't do them, they just disappear, so it's easy to forget something and many similar small things.","17 people found this review helpful","ULSoft","June 1, 2021","Hello Maksymilian! We continue to improve our application. For one-time tasks, we added an option to show in the calendar until it is completed, and in May there was an update of some schedules. We take into account the opinions of our users and add many things upon request."
"https://play-lh.googleusercontent.com/a-/ACNPEu_msCjKeF2Di_7U-8SPS2aBl_LIFYxVXR_GZ6ca-3U=s32-rw","Heather Estepp","Show review history","May 16, 2021","Probably the BEST of all the task apps I have tried. I have reported a few bugs to the Dev and suggested a dark theme widget. (While the app can be made dark, the widget doesn't follow suit. So it looks a bit out of place.) Otherwise I LOVE the app. I'm a very visual person, so having all those great icons and colors helps immensely. I'm on a 7 day trial now, but I plan to have an annual subscription.","39 people found this review helpful","ULSoft","May 17, 2021","Thank you very much dear user! We are working on the dark variant of the widget, it will appear in the app soon. Also we've fixed the problem with 24-12h in the widget and sync with google calendar. We are always glad to receive your suggestions for improving the application. ❤️"
"https://play-lh.googleusercontent.com/a-/ACNPEu9RiDv5vG_Aajf72Lh_ZoJYeqZyGErxJLx-RttwGGE=s32-rw","Clarisse","","August 5, 2021","So far the best habit app I've ever tried. Three suggestions/requests: 1.) Please make it possible to move the app to an SD card. 2.) Please add an option to make the notifications sticky. 3.) Please consider making the opening transition with the elephant a little faster! It's not really a big deal but sometimes I will actually skip updating my progress for the day because the animation takes just a touch too long. Thank you!","12 people found this review helpful","ULSoft","August 5, 2021","Thank you, Clarisse! We'll consider your ideas =)"
"https://play-lh.googleusercontent.com/a/ALm5wu2YzQeaZF5IrE47MKFeImv1MOZGgHJrXLU4QYoYMw=s32-rw-mo","Taylor Ogborn","","June 2, 2021","Wish I could give 4.5 stars - I haven't been using this app for a long time, but so far I love it. I've always had a hard time finding an app that is bullet-journal-esque without either being too complicated or costing me an arm and a leg just to get the features I need. The only suggestions I have is maybe a desktop version so that I can manage my tasks while at work without picking up my phone. Also, a way to sync with an Outlook calendar. Finally - if there was a way to color code specific calendars on import. For example, I have my personal calendar and a family calendar synced in and I'd like all tasks coming in through my family calendar to be green. Loving this app so far, glad to finally have one that can work the way my brain does!","23 people found this review helpful","ULSoft","June 3, 2021","Thank you Taylor! We will release the dekstop version pretty soon - this summer. As for coloring imported tasks, please try this: enable the ""Set task color to the color of the first added tag"" option in Advanced settings and change the tag color for the tasks imported from family calendar to green while editing the imported task."
"https://play-lh.googleusercontent.com/a-/ACNPEu-_tfGqst-Fi_PPeRVF7ICGEl7xVf16wv7lNTtd9rA=s32-rw","Carlijn Perez","","November 18, 2021","It's brilliant. I love it. I use it to plan and keep track of the progress of the exercises I need to do to get better after years of illness. The UI is easy to understand, nice introduction if you want it. Clean, not noisy at all so also good for most ppl with autism, brain injury, sensory overload etc I think. The free version is enough, would have bought the premium immediately if it were affordable, like €10-15 max. Now it's just way too expensive. Give me a nudge on black Friday please 😉","1 person found this review helpful","ULSoft","November 18, 2021","Thank you for your feedback, Carlijn! We are doing our best to provide you a great experience! We've got a suggestion for you, hit us up at support@tusk.best 😉🤗"
"https://play-lh.googleusercontent.com/a-/ACNPEu9cAvOhTzvTAhnAtUbcePEYtIQSgFZIZDTnrC3rag=s32-rw","Justine McGreevy","","June 18, 2021","I really like this app so far. It's clean and easy to use. It most importantly has a feature that I've found missing on so many other habit apps that I've tried - the ability to set a variable number for ""times a day."" If apps let you set a goal for multiple times, it tends to be all or nothing. With this, I can still check off the task whether I managed 1 or 10. I only wish that the x/y that you can see before you mark the task as completed was available to afterward. That's data that I'd love to be able to track on a long term basis. This also applies for the subtasks. You can check them off, but they don't remain checked when you look back at previous days. This is still a really solid app.","53 people found this review helpful","ULSoft","June 19, 2021","Thank you for your suggestions Justine! We plan to add more detailed statistics, including subtasks and repetitions per day. This functionality will appear after a while."
"https://play-lh.googleusercontent.com/a-/ACNPEu-achqps4ekfRnxy4b1poYATXypnNCAhFki2i0mPw=s32-rw","Allie Freyre","","May 16, 2021","It's a bit surprising that an app with so much flexibility lacks the very simple option to add a ""to-do"" style of task that appears on the daily view until it's completed. Sure you can create one-time events, but once the day finishes they're removed from view, forever to be lost in the depths of the ""all tasks"" tab. This makes the app pretty much useless to keep an eye on things you need to do but don't have an specific date tied to them.","24 people found this review helpful","ULSoft","May 19, 2021","Hello Alexandra! We've added an option for one-time tasks - show it on calendar until it's done. Please, update the app!"
"https://play-lh.googleusercontent.com/a-/ACNPEu_M-ZbZRVrjH-wNusArOAB_qp4ohbHSaIR4R9iCRA=s32-rw","Ahliesa Santiago","Show review history","April 14, 2021","Going great so far! This has the features I've been looking for (if not exactly the feature, very close to it!), and it's a plus that I can create more than 5 habits even in the free version, so thanks for that! Definitely will be upgrading to the Premium version soon because the main extra feature I like is the ability to add notes to each habit every day. Would love the ability to put a habit ""on pause"" though or something similar, like when there might be a month or two when I can't do one.","25 people found this review helpful","ULSoft","April 14, 2021","Thank you very much for the feedback Ahliesa! We are working on the ""pause"" feature and will release it in ~2 weeks."
