"
  YourHour - ScreenTime Control","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/a/ALm5wu2b97Mq14NKxxYsuzaDY9fo1r2ljtkmEXZcxQkI=s32-rw-mo","Demon God","","April 26, 2022","One of the best tracking apps I have seen. Offers a lot in the free version. After using the free version for a while, I switched to the paid version and I don't regret it one bit. It has everything that can help you to curb your addiction. The custom challenges are my personal favorites. One thing I would like to be added would be a screen popup remider that would remind us that we have used an app for a particular duration at a strech and resets everytime we reopen the app. Great job Devs!","82 people found this review helpful","Mindefy Labs","May 17, 2022","Thanks for your review! Please recommend our app to your friends, and don’t hesitate to shoot us a note at admin.yourhour@mind-e-fy.com if you have any questions."
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","November 14, 2018","This app after the last two updates does not even open anymore on my S7 Edge phone. I don't know what's wrong with this app.. i thought after the recent update this issue will get fixed as in the updates it was mentioned that major bugs have been taken care of but i don't think it has been taken care of. If i cant open the app i can't use the app.. it has become totally useless for me I also don't like the way the information is displayed. The graphs the amount of time used and the daily bifurcation of time is very very confusing. I dont know why you guys have chosen those formats. Choose something vwry simple. Uninstalling the app and looming for an alternative","3 people found this review helpful","Mindefy Labs","November 14, 2018","Apologies for it Vaibhav, our team is trying to figure out at priority, as its coming to some specific users only.

It will be a great help from you if you can share that after the update which screen is not opening for you, do you see the first launch screen or dashboard ? also can you send us screenshots and sequence on mindefylabs@gmail.com."
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","March 11, 2019","A good application to track usage. Suggestions:- 1) export to excel data can be more better. Maybe in a report format instead of just raw data. 2) could show quaterly and half yearly usage as well. 3) The notification in the notification bar isn't always updated. It updates itself only on opening the application or locking/unlocking the phone.","","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu1MyRTvKwiLcq5LlfTec6JHlkBESW0EwFR9gzHB=s32-rw-mo","Sampriti Sarkar","Show review history","July 11, 2020","So far so good. I love this app especially since it gives you rewards when you do well. However, there is something I would have appreciated if the app included it. Fingerprint locks. My phone is used by a few more people as well. When they use it for more than the aloted time, my rewards slip off. I would really love it but it is not that necessary. It is helpful.","27 people found this review helpful","Mindefy Labs","July 12, 2020","We're always working hard to improve the app. Thanks for your download and feedback."
"https://play-lh.googleusercontent.com/a/ALm5wu0WlSCcnw9JnTJhFwwJ5Us2xwyDtiI2Iy67O6NR=s32-rw-mo","Vedika Sharma","Show review history","March 7, 2021","I love love using this app. Everything described works wonderfully. The feature of locking the setting on over usage is wonderrrrfullll. Also, the floating timer is a lot of help. Then the challenges are really fun. Would love to see a few changes though like when our daily limit of our app is nearing we could get a notification (Ik timer is there but maybe it could come as a highlight when 5 mins or 2 mins are left. That way we can save the work or whatever it is that we are doing)","37 people found this review helpful","Mindefy Labs","April 6, 2021","Thanks for taking out time to rate us. It really helps us to keep going and delivering the best :)"
"https://play-lh.googleusercontent.com/a/ALm5wu0pzCyT4Y8ZHWChF28KZdhbB9tojAi7q392gaHJ=s32-rw-mo","vee jay","","June 4, 2020","I see a difference by using it for just 3 days. I am using the free features and yet I get so much out of it. I like that I can set usage limit for apps (which is a pro feature in most other phone detox apps). Then there are achievement badges and addiction level to keep you motivated to reduce phone time. I hope to see a Desktop Version for the app too.","48 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-_Ojm7ZrmpupOx3n2aAoNPlDt2n5K8XKiLbvKwwg=s32-rw","Harsh Kesarwani","Show review history","May 10, 2020","It's really very nice app to track our phone usage. Have also bought it's premium version at 50% off and having a great experience till now. But I think developers should consider modifying a thing. After the completion of default time limit of 30 min for any app, it gives the option to extend it by 2 min or not remind again at all. This limit should be changed to around 10 min or an extra option should be added else it becomes very troublesome to face the popup every 2 mins. Thanks!","34 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu0Jz05WVJEF7RKnaopCVjAnNaxOW9gWA420V10e=s32-rw-mo","Vidhya Shanmugavadivel","","December 16, 2020","Omg, this is excellent. At a point of time, i noticed that i was getting carried away too much by my device and i tried several, nearly 20 different apps for screen control but i have never seen any app so good as this. It has a floating timer and auto lock which i love. And it is just perfect. But i tell you if you want to use auto lock, make sure you never disable when needed. Seriously this app is worth it. You will be 100 percent impressed. Sorry if you expected too much. Not my fault","106 people found this review helpful","Mindefy Labs","December 16, 2020","Dear Vidhya, It is delightful to hear such positive words and it’s always a pleasure to serve our users."
"https://play-lh.googleusercontent.com/a-/ACNPEu8hwXmruci6skYtllIh8z_GWpaKh8-GHmG8qGtp=s32-rw","Daniel Bavisetti","","September 10, 2020","Best app to manage time spent on phone. I am able to understand the time wasted by me. Clear data is provided. But the only thing that needs to be changed is the usage limit of 30min. I can't change usage limit unless I get a premium version. That's disappointing . Anyway ur effort is great. Go ahead and make apps like this to increase productivity time.","","","",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","May 21, 2019","I'd like if this app actually worked properly. I keep experiencing that the timer just randomly dissapears, and also the notification thing kinda really bugs me, as i for one like my notification tray clear. so maybe you could add a double tap or long press feature on the timer to view how many times you unlock it and use it. also i use a OnePlus 6 and it doesn't calculate the time spent on parallel apps. so maybe that could be fixed. and if the timer would be translucent, that'd be better","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_Bb-1eQsMPWBlOW-eBVDTnE9n0TTAr0hehVR7-VA=s32-rw","t Dolkar","","September 10, 2020","Great app! I just downloaded it and found the setting can be locked for 24hrs so that one wont be able to change the setting and overuse an app! Juat one minor improvement: there is no UNIT while setting the time limit I have no idea whether I am setting the time in minutes or hours for individual apps. Kindly add features for choosing units. That would be great !","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9_2Eus7fA7LHEynKyAGPvuEqmsvz59hcbJybyndQ=s32-rw","Suresh Kumar","Show review history","June 8, 2022","I love this app even bought pro version, but it has two Major Issues. 01. The app doesn't auto start, it stops working after one or two days in the background even when I give all permissions and bettery usage allowance. I have to open it when I remember and then the floating timer and banner notification show up. 02. Even the lock doesn't work sometimes, I set 30min timer on Twitter and continued to use it for 45min, after realizing I forced stopped and re-opened YourHour, then it worked.","41 people found this review helpful","Mindefy Labs","July 3, 2022","We have fixed this issue in the latest release."
"https://play-lh.googleusercontent.com/a-/ACNPEu8_7E_8-OZF0E8Pn0pGi13nvLkglx39fw5BD3px=s32-rw","Yukta Kedar","","June 18, 2021","The app is amazing by far... Loved it...The one thing that separates it from other app is its floating timer function. The floating timer tells how much time you spend on every app, which is an amazing feature. But the one thing that puts me off is that the floating timer gets off automatically after some time. Which is frustrating as I need to go again n again on app to get it ON. Other than that it is an incredible app and I will rate 5 if this problem is solved.","34 people found this review helpful","Mindefy Labs","June 22, 2021","Some devices kill the background service when you close the app by removing it from recent apps. To use them make sure the sticky notifications always stay in the notification tray. If you can see the sticky notification then app's background service is running."
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","","May 24, 2019","A life saving app! This app should reach the masses in favour of public interest as it cam cure you of a very common disease of over dependency on smartphone. Minimalistic design, replete with amazing features and many other aspects make it a perfect self help app. Only one thing that needs to be fixed is that app is slow in syncing with time left widget compared to the actual statistics which I hope will be fixed in no time.","","Mindefy Labs","May 24, 2019","With every new app version we are introducing new features and improving existing ones. We are sure that your feedback will only help us improve further."
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","","March 11, 2019","In my opinion it was a very productive app. Keeping track of something helps you regulate it and the version with challenges is at another level of helpfulness. I would recommend this app if you find yourself looking at your mobile's screen for hours on end. This app is surely to help you keep track of your time and eventually get rid of your phone addiction","49 people found this review helpful","Mindefy Labs","March 14, 2019","Hey, 

Thanks for your amazing feedback!

We are committed to serving you even better in future updates of YourHour App.

Keep Detoxing!

- Team Mind-e-fy"
"https://play-lh.googleusercontent.com/a-/ACNPEu8RnRuWmC34IaoMw75NCrA5ReXQ7UEXjGIr-Wl7=s32-rw","Stuti Aggarwal","","October 19, 2020","It is a really good app and has helped me to stay focused and do my work independently. It is very good and it is perfect for someone who really wants to forget about his/her smart phone. The best part of it is the feature of setting challenges and the reward badges that you earn really make you more eager to keep your phone at a side. I tried many apps but this one is so far the best and I personally recommend everyone to try it atleast for a day. Thanks!","38 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","June 20, 2019","Came back to this app after more than 8 months. It's still amazing. A lot of the time, frequent updates kill an app because management does not want to spend as much on testing as is necessary. Here's wishing you many more successful launches! 10/14/18: Just downloaded. Loving it so far; the floating timer is an amazing idea.","","Mindefy Labs","October 15, 2018","Thanks, 

Your excellent feedback drives us to deliver even better.

We are committed to updating YourHour App with much more useful features in coming updates.

Keep Detoxing Well!

- Team Mind-e-fy"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","December 29, 2018","I have looked at a few different apps to keep track of my daily usage and this one seems to be the better option. It has actually helped me reduce my daily usage from 1.5 hours to 30-40 mins on average. The floating timer feature is what forces me to consciously think about my phone use. In the future, I would appreciate a feature where I can check my usage reports from any date range in the past.","","Mindefy Labs","December 31, 2018","We are delighted to hear that, we will try to process your suggestion in future.

Wishing You A Very Productive Digital Life Ahead.

- Team Mind-e-fy"
"https://play-lh.googleusercontent.com/a-/ACNPEu_k-vKlGrv_IlIY2XlpHSX4qqnDM0QQ7wH9LygdDcQ=s32-rw","Bharat Patel","","December 20, 2020","It is definitely a great app. It helped me very much in identifying the ""addiction"". It has both the features Free and Pro and the pro feature is very cheap(₹300 or $4.08). It worth buying. It also have many great features that all work for a single goal- least mobile usage. It gives you detailed analysis about how much and how often you use any application. It also have the Unlock Count feature which count how much you unlock your device. It has very impressive user interface It is a Great app.","6 people found this review helpful","Mindefy Labs","August 16, 2022","Thanks for your review! Please recommend our app to your friends, and don’t hesitate to shoot us a note at contact@mind-e-fy.com if you have any questions."
"https://play-lh.googleusercontent.com/a-/ACNPEu9EhfbaQzuPEFqE-inT5kinT534HO58iu48IKsrJQ=s32-rw","Madhav Ramini","","August 6, 2020","This app is really useful for those who are trying to wipe their addiction off themselves. I always felt happy while using this app, since it reminds me to not to submerge in the mobile... I highly recommend this app to everyone. Thank you Suggestions: Please add a screen lock feature so that it disables us from using phone for some time. And you could also add some more types of challenges to make it fun.","3 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","","February 17, 2019","DO NOT DOWNLOAD!! In the beginning, the app looks great and works great. Time tracking and all is great.. but after a certain while.. it's auto lock feature stops working.. and it'll drain your phone's battery really rapidly. My phone usually ended up from 100-20or30 in 2-3 days.. but after installing this app, fully charged battery went at the max. to one day. So download the app keeping the battery glitch in mind!!","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_YDz4S_4g0Ju8bVtDgPXE3PVFI-jdBsV0luIQBbw=s32-rw","Sachi Vania","Show review history","January 11, 2021","I really love this app and I had given it 5 stars previously. But I am facing an issue with it for a while. The app doesn't count the 'unlock count' correctly. Even if I unlock my phone, say, 7 times then it shows the count as 29. Many times I lost some badges because of this. I suspect last few updates caused this problem. I would really appreciate guys if this issue gets resolved.","65 people found this review helpful","Mindefy Labs","July 13, 2021","Please accept our apologies for the inconvenience caused. We request you to please share details of your issue with admin.yourhour@mind-e-fy.com. We will resolve your concerns with priority."
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","","April 23, 2019","Your time in your hands. Been using the app for last 6+ months ans I'm very happy with the way it tracks my usage without putting a toll on battery too. You can also disable apps you dont want it o track which is a plus for people who work, study on their screens . Thanks team . Unlocked the pro version today and average phone use has been 3hr 15mins now for this month which is really good.","2 people found this review helpful","Mindefy Labs","April 25, 2019","Thanks for your positive feedback!

At Mindefy labs, We are committed to making YourHour App even more amazing and useful for you.

Keep Detoxing Well!

- Team Mind-e-fy"
"https://play-lh.googleusercontent.com/a-/ACNPEu-2j6UEaCQj38xq0p-GbjLbY31_1pH1Bs9VHpWkbw=s32-rw","Sagar N. Deka","Show review history","October 4, 2020","I like the app!! Would rate it 5 stars but one thing that it is lacking is the aspect of students like me having online classes. I suggest you should put a condition on which we can insert our class timings, so that it would not be counted as ""waste"" of time. All in all, it is helping me a lot👌🏻👌🏻","86 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","October 12, 2018","Its a very good app and i use it everyday. But one thing missing in this app is that it doesn't have a heat map which shows the temperature of device. So, that if the phone is hot it changes to red and green for normal with date and timings on a graph and we can see when phone is used extensively and for better experience. I prefer this app over others and would like to have this feature for this app which other apps have like App usage! Thanks","19 people found this review helpful","Mindefy Labs","October 17, 2018","Thanks for the amazing feedback and suggestion Priyanshu, 

We love to hear from you guys that YourHour app is really helping you to fight phone addiction!

We may include your suggestion for future updates.

Keep Detoxing well!

- Team Mind-e-fy"
"https://play-lh.googleusercontent.com/a-/ACNPEu-DKBvts-b1DHtf_NtC2lJk5S1lGZYtg8fj4Xh_5Po=s32-rw","Niharika Dhingra","Show review history","August 23, 2020","It is simply to put an amazing app. I use the block feature on the alarm and it is working miraculously. Not only I use those time consuming apps cautiously but the reminder when it is going to near to closing is also great. And moreover it is not like it closes very adruptly but gives me some time to complete something I had been working on. Though it is simply painful to see the time I have spent on phone every 15 minutes or so. Also the no. Of times I simply open my phone to close it 6s later","","Mindefy Labs","August 26, 2020","Thanks for your review! Please recommend our app to your friends, and don’t hesitate to shoot us a note at admin.yourhour@mind-e-fy.com if you have any questions."
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","September 14, 2019","I'm in love with this app. Now I have a better control on my time and addiction. All the features that have been added has been more and more helpful. There is one feature I would like to be included i.e. the ability to change the daily usage notification in terms of the last day's usage time and not only percentage. I don't feel that percentage gives a better view of usage. So please include this. Thank you.","","Mindefy Labs","September 26, 2019","Dear User, Thank you for your suggestions. We will try and incorporate them upcoming versions."
"https://play-lh.googleusercontent.com/a-/ACNPEu9IIsDtZfJFVo0My8fbkr6A2GSsMbV4JIBCxtxwVHs=s32-rw","Shaurya Pant","Show review history","May 22, 2020","Awesome UI, excellent analysis. Wish I could see the median or percentile score of all users as well to know how bad I am doing. But honestly, a very good application for insights and best part is it's not greedy like some others. I will buy this one in a month or so... since it's just one time payment, as a sign of gratitude. Thanks, dev team for this application. :) PS: Please fix your icon. I see the message you're trying to portray here, but it looks horrible, in contrast to your good UI.","23 people found this review helpful","Mindefy Labs","May 22, 2020","Thank you for providing your valuable feedback. Please reach out to us at admin.yourhour@mind-e-fy.com, if you have more suggestions."
"https://play-lh.googleusercontent.com/a/ALm5wu2TOzUShdnk0wvkrh5np0kDqUkzgd4J-Pak9aQc6ew=s32-rw-mo","Ganesh Konathala","Show review history","April 20, 2022","Challenges with locking app on over usage isn't working. It's showing - ve seconds left (-600 seconds left). But it's supposed to be locked. App didn't serve the purpose. Kindly provide the patch. On the latest version of the application. Reason: Application is getting killed while clearing open apps. Though it has auto start permission and all other required permissions. Suggestion: add a page in settings listing all the permissions and their status.","30 people found this review helpful","Mindefy Labs","April 20, 2022","Hi, have you tried the latest update? It seems to fix the issue for many of our users. If it doesn't work for you, could you contact us at admin.yourhour@mind-e-fy.com so that we can work together to figure it out?"
"https://play-lh.googleusercontent.com/a-/ACNPEu__NO6y5_6k6JTgc62rwZUyAqzvf-pZn68D6sWjvg=s32-rw","Ryan LP","Show review history","May 29, 2021","Very useful but the only thing that bothers me is the floating timer. It doesn't have transparency setting it can only disappear for some time if double tapped that's it and now recently it is appearing bigger than usual. It's one of the most important feature and it's bothering pls add transparency option and resizing option for the floating timer.","","Mindefy Labs","June 4, 2021","Thank you for your kind feedback. We are aware of this problem and are currently working on solving it. Please update your app to the latest version when you see an option."
