"
  Todoist: to-do list & planner ","username","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb","VfPpkd-StrnGf-rymPhb-b9t22c 2"
"https://play-lh.googleusercontent.com/a-/ACNPEu-fdaqugfG_pwZ5apTcWYA3qP5ffv2PQSJ7Ypndr-M=s32-rw","Filipe Belatti","October 18, 2022","Pretty good app for task management. The natural language processing makes it really easy to add new tasks on the go without having to do much to keep them organized. The all already supports Material You internally if you're into it so it looks nice too, it's a shame It hasn't adopted the dynamic icon yet, it's one of the few missing on my home screen","1 person found this review helpful","Doist Inc.","October 19, 2022","Hi Filipe! We appreciate your review, thank you 🤗 Please submit your suggestion via https://todoist.com/contact > Product feedback, so our product team can process them 😀 We really appreciate your time and thoughts on improving our product!",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-YNegSFgyjs89bbPcGTl1dLi7ZOaAewL42ytiQ=s32-rw","Samantha Sabovitch","October 20, 2022","I've been using Todoist for a while, but I've backed off because it's frustrating to work with. It's very difficult to get a good view of to-dos since my day regularly ends after midnight. Other apps have a ""choose your day start/end time"" feature, albeit with less functionality than Todoist. It just strikes me as classist and ableist that this is one of the most requested features & they refuse to add it in.","14 people found this review helpful","Doist Inc.","October 21, 2022","Hello! Thank you so much for your review and feedback! We have now added your vote toward this request and hope it will be available in the near future. Sorry for the inconvenience 🙏",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-NyrBlsImtK_NlLMoRgswdWDrLNDZ79FlHEwiN8Q=s32-rw","June Nylo","August 30, 2022","I really wanted to like this app but there is no way to order items on todo lists. I have at this point had to reorder all of my items over 10 times for each because when u use the drag and drop menu to change the order it doesn't save it permanently there is also no way to sort your todo lists by date because I figured if I input a deadline for each item it would show me what I had to do with the one due the soonest at the top but no. I wish there were more ways to sort or at least filter date","16 people found this review helpful","Doist Inc.","September 1, 2022","Hi June! We are sorry to hear about the drag-and-drop issue. We would like to have a deeper look and see if there's a way to make it stick. Please submit a ticket here https://todoist.com/contact so we can get in touch. As for sorting, please try this: https://todoist.com/help/articles/how-to-sort-your-tasks. Thank you 🙏",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_WcuRucmYFAW0AK4nMqaOm8BRr1xb1kMBQSwh6Kr8=s32-rw","M Camhi","October 19, 2022","Great for organizing tasks, assigning to others, creating subtasks and categories. However, my problem keeping me from coming back is my inability to check off a task once it's complete. if I don't check off the subtask, I don't move on to the next subtask, and that task can get forgotten (or worse yet, burdens my mind with the anxiety of all I have yet to accomplish). Home pages don't highlight what I need to do well, reminders pile on, and it get as cluttered as my mind once again.","2 people found this review helpful","Doist Inc.","October 21, 2022","Hello! Thanks for the review and thanks for sharing your experience 🤗 We recommend getting some inspiration from our blog: https://blog.doist.com/category/productivity. You can also customize your home page. For example, use a filtered view.
If you need more helpful ideas, please drop us a message here: https://todoist.com/contact","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu2ff__tvsHAAVKgNCrRltp7jN-vUajltKid1N9Xig=s32-rw-mo","Sam Grace Saji","November 17, 2022","Badly needs an alarm as a notification option. I keep missing tasks with the current status bar notifications all the time. For such a well designed app, I find the exclusion of such a simple feature surprising. Other apps have it, and it's almost making me consider leaving Todoist for them.","","Doist Inc.","November 18, 2022","Hello! Thank you so much for your review and feedback 🤗
Your suggestion has been noted 🙏","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu8cCnFntkO9_C_631ckpJJ9Np1A3k3BCTdCmEInUw=s32-rw","Nico Gilbert-Igelsrud","November 17, 2022","The main app works great but the widget has gotten worse and worse. It now has to refresh 2, 3, and sometimes 4 times when marking a task done. And because of the delay between refreshes, it often leads to accidentally marking the wrong task as done with no way go undo it.","","Doist Inc.","November 18, 2022","Hello Nico! We are sorry to hear that. We would like to have a deeper look into this issue. Please send us a message at https://todoist.com/contact so we can get in touch. Thank you 🙏",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_HZWYP5VcWFYxpq3xbxFRr9O4XL6iw73FumoW2TA=s32-rw","Ken Ume","October 2, 2022","Nice look and feel but integrations are random and hopeless. Syncing with Google calendar either doesn't work at all or creates endless duplicates. Which have to be deleted individually. The lack of integrated time recording is annoying. There are other alternatives with fewer issues. After a couple of pandemic years perseverance, I've moved on","21 people found this review helpful","Doist Inc.","October 6, 2022","Hi Ken! We are sorry to hear that. If you decided to try again please let us know and we will look into those issues together with you. Just drop us a message here: https://todoist.com/contact. Sorry for the inconvenience caused 🙏","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu-YlsbvCG74pUv_qsXWXTqo9psY3hILtWfjXFMPaw=s32-rw","Sam Tran","October 24, 2022","Fantastic app and the best on the market for to do lists! I've not come across a platform that automatically groups my tasks for today in one easy to find place. Not even Google or Microsoft can do this! I link my account to every device I have including my WearOS watch. I used to use Google Tasks and you'd think Google would include their own tasks app onto their watches but no! Since then, I've converted to todoist and I've not been disappointed! I use it daily to keep up with all my tasks!","4 people found this review helpful","Doist Inc.","October 25, 2022","Hello Sam! Thanks for your review! We really appreciate it 🤗",""
"https://play-lh.googleusercontent.com/a/ALm5wu2Ghe1Xyzogc_HlQQFU7poClc04Apc9X12RGA=s32-rw-mo","celebrinthal","October 6, 2022","Great app, intuitive interface. You can really make it work according to your needs. I love the easy recurrence setting. A small glitch that I've been getting recently is that if I've completed one or two tasks in a day, I get a popup congratulating me on completing 3. Above 3 it counts correctly. This is with productivity turned off (goals set to 0).","1 person found this review helpful","Doist Inc.","October 11, 2022","Hello! Thanks for your review! We really appreciate it 🤗
The glitch you mentioned has been fixed, sorry for the inconvenience caused 🙏
If you have any other questions or bugs to report, please submit a ticket to our Support team directly here: https://todoist.com/contact.","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu-CKnNrAHHPomgWN6sEtCrQkuiIukCVksgt6fp3VQ=s32-rw","Noreen Ahmed","November 18, 2022","I've been using this app for three years and it has changed my life. At a certain level they could create more milestones for goals achieved and hope they keep building this, but for now it's what I recommend often for anyone trying to get more disciplined at their 🥅.","","Doist Inc.","November 18, 2022","Hello! Thank you so much! We really appreciate your review 🤗",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-SqEzovHOJLTt20NnJChPiXuCByQGQOctLv-1-e1E=s32-rw","Luis Jose Paredes Ramirez","November 20, 2022","Forced to update the app only to be charged for labels. Stop charging for things that used to be free. The app barely does anything with the free version. It's getting to the point that the default notes app in your phone is more competent than this app","","","","","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu-OfIS3dkF-J5ySPPDtgu35oSWFF9tF1luRp-uK=s32-rw","Pallab Dutta","November 3, 2022","Great tool for implementing the ""Getting Things Done"" methodology. The sub-subtasks under subtasks, options to label, and add due date to each task (including subtasks) are excellent features that are present in TODOIST. It's integration with Google Calendar is again amazing that help you to remember and review all your tasks at same place. I recommend this app to users who intend to efficiently multitask.","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9i_9gyQnUz2yB84dJ2itZ_mJ4ROc6kNIk1roG1CA=s32-rw","- wembler -","September 13, 2022","Just getting started and this isn't very intuitive and I can find no where to set up recurring tasks. This looks like it's just a copy of Planner from Teams. Not a good model to copy. Edit from dev feedback: Based purely on how bad an idea that recurring tasks would be set by the task name is, I'm deleting the app. 🙄👎","1 person found this review helpful","Doist Inc.","September 13, 2022","Hello! Sorry to hear that you didn't like the way a recurring task is set. If you have a minute, please share your suggestion with us so we can improve it in the future: https://todoist.com/contact. Thank you 🙏","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu9S2Z7cs239vApOiLNQt-YGapa3-9KanMyLjmYQeA=s32-rw","Mike Trewartha","November 14, 2022","This is about as good as apps get. The app is powerful but not overcomplicated. It's beautiful, intuitive, fast, reliable, and customizable. Really don't have anything negative to say! Thanks for a great app, devs!","","Doist Inc.","November 14, 2022","Hello! Thank you so much! We really appreciate your review 🤗",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9Zrji9LM0vQwb1H9eTHF3Zmql00yZUo9AtjTVXig=s32-rw","Pavel Zdráhal","October 19, 2022","I have to say that I completely love this task manager app (it's a winner above all the others that I tried mainly because you can set subtasks and sub-subtasks almost indefinitely). I have an idea of a feature that could make it even better (nothing groundbreaking though. I would like to be able to set percentual progress in any given task based on my own subjective estimation (so basically I could decide to make the progress on a task 50% or 20%). Keep up the good work","2 people found this review helpful","Doist Inc.","October 20, 2022","Hi Pavel, thank you so much for your kind words! As for task progress, this has been duly noted by our team 🙂","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu9hgp7kgvGczQptNo758-KWMleKl-SLQ6PfwmhBuP8=s32-rw","Derrek Arce (DC)","November 15, 2022","**Edit** After seeing some wrinkles ironed out I cannot say enough good things about this app. It has helped tremendously to implement the Getting Things Done method. The fee is not outrageous and worth the price. The customer service is also fairly responsive as well!","1 person found this review helpful","Doist Inc.","November 18, 2022","Hi Derrek! Thank you so much for sharing your experience! We really appreciate it 🤗","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu1OTKmKQcFRyYkoy3gj3LvIWTh8E3l-z9s4bnCM=s32-rw-mo","Meredith Kent","October 10, 2022","I wanted to like it, but when you download it starts populating BS ""tasks"" for you. Presumably this is meant to be a tutorial, but there is no obvious way turn it off. You have to delete the routines and tasks. I downloaded this to make lists, not to spend time deleting autogenerated garbage from my notifications.","8 people found this review helpful","Doist Inc.","October 11, 2022","Hello! We are sorry to hear that. Thanks for your feedback, we will review this with the team. Sorry for the inconvenience 🙏",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-2gu3vOsDZppTinEdIVhsS6ftjw2ST48Gifu2O=s32-rw","Ricardo Itzep","October 12, 2022","Pleasant app to use! The application is very simple and I find it very intuitive. It is quick and easy to create new tasks. Adding time and dates to task is streamlined by using the ""auto-detecting due date feature"" within the app. I am pretty new to using ""to-do""/organization apps, and I find this application as great starter and/or a great addition to tools you already use!","","Doist Inc.","October 13, 2022","Hello Ricardo! Thanks for your review! We really appreciate it 🤗",""
"https://play-lh.googleusercontent.com/a/ALm5wu2R1wrPqJaf3OSd9T4n4fk6o0vSmfDRknfAbdfK=s32-rw-mo","Jeff Cuddeback","November 17, 2022","Pretty cool way to organize my life. Lots of options for sorting tasks into groups and having different colors to label priority. Really helped me get some much needed order in the chaos of my life.","","Doist Inc.","November 18, 2022","Hello Jeff! Thanks for your review! We really appreciate it 🤗",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9LQN8nF-F6DU3nig7sl4iNcp7xGRzY0wvsRbTw6AQ=s32-rw","Brittney Ovando","September 23, 2022","prevuously I would have given this app 1000 stars... I love this app but it just updated and now the widget isn't functional.. I've been using this app for years and never had a problem.. I'm very sad about this.. This app has been so beneficial to me and having the widget made my life easier and was a good reminder that I had stuff to do.. now I have to rewire my brain to actually open the app instead of just seeing it on my home screen... Also the view all isn't working for me.. ☹️🫤","1 person found this review helpful","Doist Inc.","September 26, 2022","Hi Brittney! Sorry about that. Please note that your widget filter should work again if you log out and log in again from the app. We apologize for the inconvenience 😞","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu-KPmkpNaxQOwVnKo86Rd_nuHFx6d1yeoAB_NQ1bA=s32-rw","Rick W.","September 20, 2022","Today (9/19) my filters have disappeared. They are still present and functioning on my computers but not on my phone. The dev asked if I would try logging out and back in. Yesterday and again today I tried just force stopping the app, and that didn't work. Logging out and back in did work. Back to normal.","6 people found this review helpful","Doist Inc.","September 20, 2022","Hello! Unfortunately, several users have reported the same problem, they mentioned that logging out and logging in again fixed the problem. Can you please give that a try and let us know if the issue persists? We apologize for the inconvenience 🙏","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu0gJWykFiWNfCCblib_ggZxoMv6gM_KoHh7KtDd=s32-rw-mo","Jenny Southern","October 11, 2022","Irritating. Can't say more than one word for your list, goats cheese comes up as goats. No more than 3 items per list on the ""board"" I deleted my tasks before adding sub items by tapping them. Monday board is easier to use than this, with videos to show you how to do it on youtube.","","Doist Inc.","October 13, 2022","Hi Jenny! We are sorry to hear that. If you would like to learn more via YouTube, you can find our tutorials here https://www.youtube.com/c/todoist/featured.
If you have anything questions, please feel free to drop us a message here:
https://todoist.com/contact. Thank you 🙏",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_lPKfPUWHUUVPmLZ6n21KtcHgsmvgBFh-fGB_dDg=s32-rw","Bobby Hutter","October 9, 2022","This app came highly recommended from software dev friends. It boasts a remarkably intuitive user interface, stays in sync between desktop & mobile, and i've yet to hit any paywall bs; just simply the best to-do list application i've ever used.","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu93ZyTqDvEeJQNR1XISS4vJu9i5Fc2iDOAbqglU=s32-rw","Gernil","September 23, 2022","Todoist is legitimately my favorite to do list app I have ever used. It's what makes me aware of everything of what's going on or what i don't. I have a suggestion though. Can ya'll add a days/hours/mins away due feature where you can keep in track of how much time a task has left until due? That'll be great!","5 people found this review helpful","Doist Inc.","September 26, 2022","Hi Gernil! Thanks for your review! We appreciate your feedback and it has been noted 🙏","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu_snk2Z1jpfyb6LtXd_IUQASaL-5WCssmhIY5uLhQ=s32-rw","Josh John","October 13, 2022","Love this app! Todoist, can you please add a feature for me? You can put it on Pro only. I really would like to be able to adjust what time a ""new day"" starts. Sometimes I'm up past midnight and complete some daily tasks after midnight, but it messes it all up because they don't show up for the next day because technically I've already completed them that day. I'd like the app to start a ""new day"" at, say, 3am instead of midnight. Can you add that please?","","Doist Inc.","October 13, 2022","Hello! Thanks for your review! We really appreciate it 🤗
Your request has been noted 👍",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-ULpc8aMZQ6dPAInW9xmgJvXFuZlS3nY-w2jtI-A=s32-rw","Matt Duslak","September 11, 2022","If there was a tab or way to review what tasks we completed at the end of the week that would be awesome. I have a recurring weekly task of ""review week"". Having this function at weekly and maybe even monthly would assist greatly in self reflection!","1 person found this review helpful","Doist Inc.","September 12, 2022","Thanks for your suggestion, Matt! It has been noted 🙏",""
