"
  WaterDo:To Do List & Schedule","username","bp9Aid","review","AJTPZc","VfPpkd-StrnGf-rymPhb-b9t22c 2","I6j64d","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/a-/ACNPEu8IVjrl-iHo-CR0N6FkU1DW1c9xsHNNVO5WmPJc=s32-rw","Athena Mejia","November 10, 2022","It's a wonderful app. I wish you could add a small note to a task, like if you had to send a message, you could attach the phone number as a note, or something of that sort. Besides that, it's really helped me get a lot of things done and keeps me on track.","","","Seekrtech","November 10, 2022","Hi, thank you for the great idea! We will relay it to our team and take it into consideration. Feel free to contact us via the in-app feedback system if you have any questions or suggestions. Have a lovely day. :)"
"https://play-lh.googleusercontent.com/a/ALm5wu2b46rpsOojp4XdsBEozV3NMaexLBeFFUDEqDAz=s32-rw-mo","Stephanie T","October 5, 2022","It's an interesting to-do list. Would be nice if there's a priority option; I see that it's available during the daily review but not on new/edit task. Also, if there's an undo option for accidental bubble popping.","","Show review history","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu99y-Paqzx9iU7i7we-BQvtBxdLdhr2JpTpwkuJ=s32-rw","Thanaphol Thadanukulwattana","October 2, 2022","This is just a great Todo list, there are a bunch of bubble and a little game mechanic. I love it, great job.👍 Here is a good suggestion, you should make the bubble easier to pop to actually create a satisfaction for the user. Could be hold for more information and double click to pop.thanks a lot anyways! 😄👏","","Show review history","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-zzTl_0Z0FlZPynzRb_6lX14Lz-K1pHeb9r8TS3g=s32-rw","Yoongles","July 31, 2022","Absolutely love this app, I really like the concept of popping bubbles (makes me happy lol) I like the way it represents the tasks visually rather than just a plain list. I normally struggle commiting to ""to-do"" apps because of how monotone it can be. I can happily say this app has been helping me with that and I look forward to completing my tasks so I can pop the bubbles and feel accomplished lol. It does not feel like a chore. Its very easy to use, cute, minimalistic, and has a nice UI 🤍.","13 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9qW99Qnh5haU3p-ezQqNP6DkODv_wzgHC5_XHy6d8=s32-rw","JL B","August 20, 2022","Been using this app for a while now and while I like the general idea and the suppert was always friendly, it really doesnt work as good as it should, especially for beibg that expensive. Since the beginning it's not possible to turn the app's sound off (the in-app option only 'works' when you turn the sound off every single time you open the app) Also i bought the lifetime membership and just got a notification that it's expiring after a year and i have to renew it. It's called lifetime tho.","25 people found this review helpful","Show review history","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu3Upsa3FaLN0vK0VkPK6v7ckLwc5kXXWutV3UjD=s32-rw-mo","Si Apps","July 20, 2022","Love the concept. Definitely a 5 star app if it weren't for the frequent crashes. A lot of times I'm unable to enter a task (it crashes the second i press ""set"") even after restarting the app multiple times. If all these bugs are fixed, it would be a definite must have.","5 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu1R91435ZVt-rC87nVqVXsISnR8D1aZolSsf3guZx0=s32-rw-mo","Richard Yun","July 22, 2022","I got a new phone, and all prior instances of my recurring tasks were suddenly undone and overdue—that's thousands of tasks. I told them about it, but only got a ""we'll deal with it someday""-type message. I stopped using it after not hearing back for a few months, despite paying for lifetime premium. Also, selecting ""no music"" still led to hearing the completed tasks jingle every time.","4 people found this review helpful","Show review history","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-XQL0nElQ-6UVCiaGekKTR6wEtcfSeKWBtjbnR=s32-rw","Interlaced Tails","November 7, 2022","I love how satisfying it is to pop the water bubbles and also the island system. I'm very happy with this app and even got the lifetime version since it boosts my productivity so much.","","Show review history","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu0EykB5myvCjCEm8E8fk-BctQKpQXpU74JqukS9=s32-rw-mo","Lazyman Nottan","October 28, 2022","I'd ever used it in a month on 2019, then I uninstalled it, yesterday I tried to install again with forest and sleep town..... Forest and sleep town run well, but this app only appear white screen","","","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu1AptSZE06kzU9bklPHY6adfDjwbUN7s5T1DzGq=s32-rw-mo","summer victor","August 10, 2022","I haven't used it long, but so far it's great. It has a wonderful interface and is very easy to use. I love the game like aspect of upgrading the island and finding new characters. It's done wonders on my motivation, and I look forward to continuing my use of WaterDo through college and my daily life :)","1 person found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8OveFGUHCUrm0_Nq5rcEAvjugTwBY_yTuDg2rZ6Z8=s32-rw","K C","June 27, 2022","I've tried almost every popular to-do list app, but none have kept me on top of my tasks like this one! Now I can't stand those other typical boring lists lol. It works so well because it's super satisfying to pop those bubbles & receive chests to unlock things on the little islands. But one major feature that is lacking is dark mode, especially for those who paid for the app. White screens hurt my eyes, so I'm hoping the devs release dark mode very soon. Thank you!","4 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_E1RJMxNPHGFMBDTOgNHZw6uUwDjJ9aF4YzNmRng=s32-rw","Andrei Salagean","August 26, 2022","It's the best app from this category in my opinion and I just bought a one year subscription. However, I have tried so many times to open a chest but it keeps telling me I am in offline mode. Is there something I should do on my settings or is this a bug?","","","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu1tzo8TC8DVWG9bPKHHK216bf75ArvTJ6hvH4Y5=s32-rw-mo","Sean Bertoia","September 27, 2022","Easy to use and keeps my day straight! Edit: with the new update my phone spam notifies me every couple hours talking about the new charity donation offer. I'll be turning off my notifications for this app and changing my review until it's resolved","","Show review history","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_eP6pRnC-Tc691M74_NeuNt4aF7ymUJn_YDur_7lk=s32-rw","Nate Wiesel","October 8, 2022","A genuinely adorable and charming task tracking app! Some very enjoyable UI design that makes you look forward to 'popping' tasks done.","","","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu1J5Pme8pRxeIteKfnDGAyE1EBgBCmYoq5v2J1R=s32-rw-mo","Sam Wilson","September 30, 2022","Just started but it's already been a better motivator than the usual task apps. It shouldn't take something with bright colors and sounds to get me to do stuff, but it does!","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8FFpn3e7UbOpD-wQ2fDHeQVFGsmyur6YT3dF42=s32-rw","Jos","August 31, 2022","OMG, I am definitely going to stick with it after the web version launch. Now it's complete, better than todoist. I don't even care that much a wear os app as this is already amazing. Looking forward to updates on the web version 😍😃🥳","","","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu0lZCU-MzPoe-z5JalFTUWLFi3i_KXsOpTL-iyb=s32-rw-mo","Adnan Abdullah","October 16, 2022","This app is wonderful. But it is too hard (almost impossible) to pay with card from Bangladesh. Please include some local payment system of Bangladesh, like Bkash, Nagad, Mobile banking etc.","","","Seekrtech","October 18, 2022","Hello,
Thank you for the suggestion, we will forward your idea to our team and see if we can work on it in the future. Let us know if you have other questions or suggestions. Thanks again and have a lovely day! :)"
"https://play-lh.googleusercontent.com/a-/ACNPEu8K5eitnHKFKEOvngvznuhKIkzL493fQlu2VVRnOw=s32-rw","Pili Melendez","October 18, 2022","This app is so beautiful! I'm glad I found it, it definitely helps me be more productive. The bubble popping is so satisfying that it encourages me to finish my tasks.","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8B_sM3dVCiOkpaCOQM2OKXVhcPtPIIHRBbrIujkA=s32-rw","Eadwin Tomlinson","June 8, 2022","It's a nice simple task list. I find popping the bubbles of a completed task very satisfying. I like the building the island idea but it does seem a little hidden perhaps you can see the island and the people on it below your bubbles? I'm toying with paying for it but it is quite steep.","","","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu1MjyHPdpO61Cs3pjCRZqAjrEb8HqsCqUDEmEOZ=s32-rw-mo","NotExactly AName","October 12, 2022","a bit of a slow app and dislike the incompability with apps like Microsoft do and Google calendar, but still a decent app nonetheless","1 person found this review helpful","","Seekrtech","October 13, 2022","Hello,
Thank you for the suggestions and feedback, we'll consider implementing these features in future updates. Please feel free to contact us again if you have any further feedback or questions! :)"
"https://play-lh.googleusercontent.com/a-/ACNPEu9Lo-I9GdddA6zCML9MtJ3o_XLMkCu3FPjU0OL6=s32-rw","Sherry Wong (Lythiaren)","July 11, 2022","Current build is extremely unstable. I've been signed out twice and it's crashed six times so far while attempting to visit my island after opening a chest. After one sync, it sent me to the wrong island and would not let me change to the correct one without first visiting a different one.","","","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu1SqItIlsKQ3kHRY1cuIHNU45hIlDtm3tyB2lDr=s32-rw-mo","Magpie Lady","June 29, 2022","I am loving this app so far. I have severe adhd and have trouble even remembering to eat meals. This has helped a lot. The one thing that is missing that would make it perfect would be if we were able to retroactively go in and say what we completed the day before.","2 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_gfgo5aTHLHBbeDpFJS9UPD7xn-4F3ka6JVPA=s32-rw","Mikaila Nelson","July 30, 2022","I like this app. For some reason I don't get as overwhelmed seeing as only 6 task bubbles fit per screen. I do wish the bubbles position was movable to organize myself mentally. Thanks. Also the web version is pretty alright too.","1 person found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu3B0KtR31QLLi4aKhP4Qt8jzaK_GhRHJXi_of5q=s32-rw-mo","Myanna Hebberman","July 27, 2022","I love this app, no idea what it is about it however this has got to be one of the first apps that i have actually been consistent in. I do hope they add a third option for the daily review that allows us to do it at anytime in the day. Often times i forget to do the daily review but still want to do it after the fact. So by adding in this option i can do it much easier!","2 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_bUqmOtMKxLOwGyD4iO8GHnFG6SpMpm2O-WpoWWg=s32-rw","Toni chan (バスラ)","July 14, 2022","After submitting a few crash reports, the developers were very quick to act and fixed the bug so I am very impressed with the responsiveness of this team. Great support, beautiful app and fantastic UX!","1 person found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9nd9uER9tnEKTGbBL_LUlB4xtvIlQUB_I8kbUREUQ=s32-rw","Madison Baum","July 11, 2022","There's been a glitch with adding tasks via the widget and in the app. It freezes when trying to write in a new task or when the tab is being changed. Have to close out app. Sometimes unable to add even after multiple tries.","","Show review history","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_PFn83ZX39qWjxNCBk3OZH6DlwmrYjMS4lt_iw=s32-rw","ibillisticsheep","October 1, 2022","Paid completely after you input your email. Don't download this if you're looking for a free to-do list.","","Show review history","Seekrtech","October 6, 2021","Hi, our 7-day trial is free of charge. Try out the app, enjoy all it has to offer and select the subscription plan that suits you the best! Your subscriptions can be managed on Google Play. Have fun with WaterDo!"
"https://play-lh.googleusercontent.com/a/ALm5wu1l1CYzaj7NdBvdlMsJQRhcb5CATdvrhll3uQyF=s32-rw-mo","Aboubakar Mouhammad","November 3, 2022","Tasks does not appear as bubbles on home screen only the titles","","","Seekrtech","November 4, 2022","Hi,
We are really sorry for the inconvenience. Could you please send the details or the screenshots of the problem to waterdo.support@seekrtech.com or via the in-app feedback system? We will further investigate this issue. Thank you!"
"https://play-lh.googleusercontent.com/a-/ACNPEu9f2W4DxI1_QCVg7fxYscItMXEekDlbWRslBvGpujw=s32-rw","Rachel Pointer","November 17, 2021","Very cute! I like it because the gamification is in wanting to build something and learn more about the inhabitants so it's less high stakes and doesn't make you feel guilty for missing something. The bubble pop is also pretty satisfying. I also like the variety of scheduling options. Their support is also really nice and responsive when reporting a bug! If I had to suggest any improvement it would be larger islands/more things to unlock. Maybe it could be part of an archipelago.","14 people found this review helpful","","Seekrtech","November 17, 2021","Hi there, sounds cool! thank you for your advice. We will take it into consideration. Providing our users a better platform is our pleasure. Have a great day!"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","February 18, 2020","I really like the idea behind this. It does stand out as a to-do list app. I have two suggestions though to make it all the more effective. The bubble popping animation isn't the same as the one in the tutorial (which is a lot more satisfying to watch). I would like the option to change the bubble popping animation instead of being stuck with the default animation (the one where the bubble expands and shows the task details) beyond the tutorial. Also, add a punishment for failing. Thanks.","4 people found this review helpful","","","",""
